"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.VD.A8KB.01A"	1.58595870132659e-14	0.046197774609857	0.0119874137974098	0.165882905198448	1.58595870132659e-14
"TCGA.VD.AA8P.01A"	0.0265439930076475	0.0963655178943449	0.0435702546278981	0.0463880339535498	1.54793977475267e-14
"TCGA.V4.A9EK.01A"	0.189533885936749	1.11850838361573e-14	0.126951744129989	0.241851594614651	0.391559108994497
"TCGA.YZ.A985.01A"	0.0680670866351287	1.42494505183721e-14	0.0557658343765933	0.0143785751201661	0.0130389233562809
"TCGA.WC.A88A.01A"	1.46216404558531e-11	0.0162113571006237	0.038960445483994	0.00454280922638485	0.0618425556867135
"TCGA.WC.A882.01A"	0.0520011458002652	0.0404809398324184	0.040409530982853	1.55079737976514e-14	0.10189226024993
"TCGA.V4.A9ED.01A"	0.0461890977936664	0.0443010363596215	0.285457994210043	1.34512753996928e-14	0.120735635250176
"TCGA.WC.A87W.01A"	0.0391819846159208	0.126861367479925	0.253635357074596	0.265712375372048	8.06989478295704e-15
"TCGA.VD.AA8O.01A"	0.0314355327523254	0.000710247357239204	0.0417493461644031	1.92923239919531e-12	0.393950968628473
"TCGA.V4.A9EV.01A"	0.266219645113847	0.0563860123548743	0.0578447596970755	0.142310109688831	0.454093928643228
"TCGA.VD.AA8Q.01A"	0.0107451445049949	0.0523539202801277	0.0319299448457604	1.06422735473282e-14	1.06422735473282e-14
"TCGA.V4.A9E8.01A"	0.0748751085838796	0.0377842392171693	0.0686948074423566	1.01148384455595e-14	0.396304323898812
"TCGA.WC.A884.01A"	0.15055850342331	0.158211231132586	0.226369656981259	1.14698134829594e-14	0.295303799255756
"TCGA.VD.A8KJ.01A"	1.32690799499148e-07	0.0859718871533103	0.159914738585742	0.208967459297941	1.52721007059157e-14
"TCGA.V4.A9F3.01A"	0.198316558445462	0.168097659410183	0.104711892029971	0.118860351608867	0.305894940205141
"TCGA.YZ.A982.01A"	0.00727993725394191	0.211476233388647	0.202844849924711	0.0811115863479762	0.122846674463872
"TCGA.VD.A8KH.01A"	0.0521553754525944	0.0442286901368149	0.0339670329968949	0.150236186513608	1.52931625216392e-14
"TCGA.WC.A87U.01A"	0.0203526748186552	0.00201516145807532	0.150551846463875	0.253634911399307	1.56434925386452e-14
"TCGA.V4.A9EI.01A"	0.0389898662086056	0.161270753204322	0.0956667424826425	0.165105112559313	0.17109446387817
"TCGA.V4.A9F2.01A"	0.0861927278927044	0.123164529321001	0.110240608650662	0.0136794128278635	0.250149693883895
"TCGA.V4.A9F7.01A"	0.0222479170883736	0.0165976550076983	0.0397713552651974	0.424822907665262	1.26962542951414e-14
"TCGA.YZ.A980.01A"	0.0230371377286592	0.568064192009934	0.224438500503658	0.039326658158507	0.0337751482135285
"TCGA.V4.A9F1.01A"	0.0462701713951083	0.0970295548930094	0.171330762397996	0.136472610473768	0.264292320791906
"TCGA.VD.A8K8.01A"	0.108206316909656	0.011645743328667	0.0673801177161067	0.140782136728097	0.429638443425882
"TCGA.VD.A8KM.01A"	0.609547841776055	0.023434189904151	0.0224943644964492	0.0123968807190746	0.260799618747858
"TCGA.WC.A880.01A"	1.9891409562281e-14	1.9891409562281e-14	0.203135043498238	0.150924906827809	1.9891409562281e-14
"TCGA.WC.A87Y.01A"	0.113033906287404	0.370736433345313	0.181410408808445	0.0599791036158204	0.185190066482483
"TCGA.VD.AA8N.01A"	0.0640910732990077	0.050678320328334	0.0556173779669918	1.57147364009812e-14	0.302233707839946
"TCGA.WC.AA9E.01A"	0.112153842496499	0.0390121509519729	0.1484582655198	0.217405760114831	0.115623945069258
"TCGA.V3.A9ZY.01A"	0.0326546866613021	1.74801655257711e-14	0.114197894990495	1.74801655257711e-14	1.99074143927475e-11
"TCGA.V4.A9EM.01A"	0.0233102593604567	0.19616595097629	0.220004545284585	0.061649766133695	0.0735173126369969
"TCGA.VD.A8K9.01A"	0.00860623771067915	0.0544149266940247	0.0614107216892343	0.278226856345742	1.32082207869075e-14
"TCGA.V4.A9F4.01A"	0.0343387534260939	0.21244523892977	0.200595163389557	0.113715872709749	0.0853127759224336
"TCGA.V4.A9E9.01A"	3.41698832489289e-13	0.0280310890012279	1.3007927227086e-14	1.3007927227086e-14	1.3007927227086e-14
"TCGA.WC.A885.01A"	1.36535056503628e-14	1.36535056503628e-14	0.0861622637733443	0.023984988763835	1.36535056503628e-14
"TCGA.VD.AA8M.01A"	0.0463321298877743	0.0329030395483211	0.0729100051093203	1.76928863907685e-14	5.15475878694741e-09
"TCGA.YZ.A984.01A"	0.0212458849902891	0.234014575820305	0.202561552790057	1.07111326391023e-14	1.07111326391023e-14
"TCGA.VD.AA8S.01B"	1.47725433974391e-14	0.0390610210496416	0.149296640114053	0.203343217166802	1.76847278539162e-10
"TCGA.V4.A9EF.01A"	0.0366923405081828	0.114249014074787	0.0295635834726775	1.89919365788251e-14	1.89919365788251e-14
"TCGA.YZ.A983.01A"	1.83649320259947e-14	0.00173146136962739	0.0602449462318268	0.165224028590435	1.83649320259947e-14
"TCGA.V4.A9EJ.01A"	1.77792036605542e-14	0.0516751346906247	0.118506972026428	0.100462876452346	8.6297911202071e-14
"TCGA.VD.A8KD.01A"	0.414064849287571	0.011149054146226	0.0283667071204942	0.113964444676999	0.422139836269159
"TCGA.WC.A888.01A"	0.538312116087472	0.0299564298775181	0.055043864367084	0.0126921794929438	0.212312741290414
"TCGA.WC.A881.01A"	0.0434508189939238	0.0226744542867842	0.0667626651434112	0.256929033444547	0.021532380701923
