"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.VD.A8KB.01A"	9.53851329451713e-15	9.53851329451713e-15	9.53851329451713e-15	9.53851329451713e-15	0.0467700428813397	0.032070774329604	9.53851329451713e-15	0.0285217192628651	0.0806074389534437
"TCGA.VD.AA8P.01A"	1.07183928826581e-14	0.0409558644226771	1.07183928826581e-14	1.07183928826581e-14	0.0778963008482799	0.0990004612423843	0.0632181439291121	0.12683459349864	0.0359520566922722
"TCGA.V4.A9EK.01A"	0.196345421987616	0.167051610983653	0.127058768588645	0.152565254655604	0.0569236900445935	0.0325536421706593	0.0698308434158069	0.106606161315079	0.0560591185479177
"TCGA.YZ.A985.01A"	0.00631141921152112	1.1936593190813e-08	1.00877878058761e-14	0.0178487695000062	0.00838941521680696	0.034259749408285	1.00877878058761e-14	0.00520515689660904	0.0137479348417963
"TCGA.WC.A88A.01A"	1.17594542854403e-14	1.17594542854403e-14	0.0372641415774733	0.0143170111079297	0.10509561761722	0.0602150929562203	0.0514592958144384	0.0816061042782663	1.17594542854403e-14
"TCGA.WC.A882.01A"	0.00309681661548772	0.218600386473495	5.4251161352979e-11	0.0531024102714865	0.0227847851946581	0.0788080765374628	7.58622223213855e-15	7.58622223213855e-15	0.0206593090823784
"TCGA.V4.A9ED.01A"	0.0755527422021766	0.0649157669216516	0.105138428545249	0.207527394105255	0.152640107208695	0.168094030513238	8.16148101506045e-15	8.16148101506045e-15	0.0229952818432487
"TCGA.WC.A87W.01A"	0.0443187899573925	0.02431946903203	6.56234120044503e-15	0.00984114265014253	0.239752532645754	0.167153245741343	0.101962087581486	0.181360452172265	0.173982968258999
"TCGA.VD.AA8O.01A"	0.0468960497974996	0.176894731937273	0.157693746132713	0.0367135518028363	0.00734601827503347	0.0351097989025321	0.0791612780630375	0.0570279014720573	0.0642276077026415
"TCGA.V4.A9EV.01A"	0.286151928850988	1.0934438137143e-10	0.311552038765378	0.174775692183294	0.0651713105075572	0.0239378874578582	0.0211629491439971	0.0589365730375427	0.0525183414821235
"TCGA.VD.AA8Q.01A"	6.22573626957331e-15	0.0600009306600615	6.22573626957331e-15	0.019119498039588	0.0028881222718082	0.000120327504656146	6.22573626957331e-15	6.22573626957331e-15	6.22573626957331e-15
"TCGA.V4.A9E8.01A"	0.0359948233486386	0.273989017662749	0.235444019818781	0.00869850024126361	0.0596261738065345	0.085702763129581	0.0539469929575377	5.52816566437243e-15	0.00826518680373268
"TCGA.WC.A884.01A"	0.15684568476306	0.109971746277275	0.0658114595193804	0.249833680760309	0.0736055768355238	0.136444141024637	0.111908089947312	0.0330527704815615	0.0521677505077687
"TCGA.VD.A8KJ.01A"	1.06230724302208e-14	0.0400403350113902	0.00479580134611894	0.037445260945913	0.0982335784596359	0.0879606515494843	0.272717800086908	0.26109859681343	0.0414011346364689
"TCGA.V4.A9F3.01A"	0.244691235444609	4.10835401583407e-15	0.211943850145481	0.136208752358151	0.108718853385833	0.107406775810461	0.0537989250796456	0.0846358480973657	0.0516739423277839
"TCGA.YZ.A982.01A"	0.0580505432883667	0.319617822678321	0.0101110081091575	0.0732609815970498	0.0421357970718948	0.0695694107633086	0.065792092422163	0.0949530017341804	0.0961632583861444
"TCGA.VD.A8KH.01A"	0.0014132749867803	8.33014492515373e-15	0.0116034351978168	8.33014492515373e-15	0.0252290007240686	8.33014492515373e-15	0.162061818908673	0.0710459081011516	0.136827862312276
"TCGA.WC.A87U.01A"	0.02449894753971	0.00233177393660453	1.10221914013606e-14	0.0658071581200017	0.16929525564491	0.0295682669071777	0.0298613826459622	0.214275260680227	0.171299161225539
"TCGA.V4.A9EI.01A"	0.0492676513217806	0.000364555004514075	0.143392901162924	0.0395680502190893	0.0761258137790382	0.078577279482161	0.284080584034622	0.199341793235216	0.0820422224035337
"TCGA.V4.A9F2.01A"	0.0579567373133271	0.245566386728983	0.034499520240683	0.127740168515113	0.0718437305090737	0.111954841461798	8.18440062357241e-15	8.18440062357241e-15	0.0898905710345396
"TCGA.V4.A9F7.01A"	0.0134603201165448	8.47813264900191e-15	0.000265110494214885	8.47813264900191e-15	0.079586640117361	0.0173268155630644	0.068958695064903	0.16254839765118	0.213636931257434
"TCGA.YZ.A980.01A"	0.0822584978643305	0.0382852307113269	0.0216974338506193	0.149851233578709	0.153127552191035	0.171780366141912	0.0648328537713547	0.0445611167723931	0.27222924617253
"TCGA.V4.A9F1.01A"	0.159781733375283	0.190107233842053	0.113914930462216	0.131462088648352	0.0883260254027321	0.0616372373317584	0.0807999467307648	0.114667440635937	0.0370962498063944
"TCGA.VD.A8K8.01A"	0.198611560982245	0.0225074922134189	0.350962934193661	0.0465958883112186	0.0224864491317035	0.0284320735105562	0.055352584215343	0.135237966940339	0.0677767804279098
"TCGA.VD.A8KM.01A"	0.297407260712937	0.0452913911938252	0.277741697504808	0.145075198617778	0.0880280680742779	0.0661535422694085	0.0253864154696516	0.0338302758420077	0.00848587411896526
"TCGA.WC.A880.01A"	0.0116852882632446	9.54377965405378e-15	0.0369273734334346	0.0591090532381505	0.152040712398245	0.00131742518505011	0.172589100698265	0.225231895401555	0.0339185546386023
"TCGA.WC.A87Y.01A"	0.226364162778843	0.0122459086863694	0.125381349752846	0.159908597672317	0.0378049287509005	0.117359362511436	0.04295912392059	0.0770797500330666	0.199361663066824
