"ID"	"S01"	"S02"	"S03"
"Patient100"	0.351249732871798	0.142137556816413	0.235374628897001
"Patient102"	0.0181477043417243	0.20884269414388	1.86812058005834e-14
"Patient105"	6.13525198156112e-15	6.13525198156112e-15	0.0015604761835248
"Patient106"	0.0363728471919525	0.153520206074138	0.262411914201387
"Patient107"	5.99399026164568e-15	5.99399026164568e-15	5.99399026164568e-15
"Patient108"	3.97113323748993e-15	0.000527206775514091	0.0062432846625605
"Patient10"	0.0934860166599488	0.0815639584026804	0.157724891816167
"Patient112"	0.201099052783866	1.10040482882698e-14	0.198838197940529
"Patient116"	0.0750572988588858	0.036322334708995	0.0575810039155729
"Patient117"	0.116505902686442	0.360878444962673	0.0327320472809259
"Patient11"	0.00720491556577491	0.0709536342847152	0.127068851207241
"Patient121"	0.194927479497058	0.0919294364131733	0.234897074318565
"Patient125"	0.483601004452595	0.0961123413883397	0.223278345486657
"Patient126"	0.295672543895081	0.162643774431848	0.275120610107115
"Patient127"	0.0296573420148995	1.26995229039296e-14	0.026975124302866
"Patient130"	0.0979836689455103	0.139700941196254	0.282256321291998
"Patient131"	0.0410200510385161	0.133444479942286	0.0155321603798894
"Patient132"	0.500852516922575	0.153300128377436	0.104603174361557
"Patient133"	0.106483328220725	0.146872259555821	0.272965440985247
"Patient134"	0.346201445851174	0.0406523885512519	0.115226913479835
"Patient135"	0.170397810841603	0.0627152218594387	0.027123203239896
"Patient137"	0.391064702535197	0.11312082985179	0.242310964642578
"Patient13"	0.0244321088482541	0.154273570396825	0.00728602437297186
"Patient140"	9.39124895281044e-15	0.000416363931066617	9.39124895281044e-15
"Patient141"	9.19702750182488e-15	9.19702750182488e-15	9.19702750182488e-15
"Patient142"	0.0940609404915801	0.118747083816968	0.0187799846968697
"Patient143"	5.03179710794871e-15	5.03179710794871e-15	0.0140769549562499
"Patient144"	0.0218110662120957	0.0313427649534834	0.018914490154952
"Patient145"	0.121785204046224	0.19123890119173	0.0622369494320737
"Patient146"	0.0986627180287396	2.18564945444003e-14	0.0537464225189365
"Patient147"	1.30853660563909e-14	1.30853660563909e-14	0.00765677264733478
"Patient148"	0.0113021295881832	0.0568211314018268	1.2796016701753e-14
"Patient149"	0.345459866200983	0.230225112808126	0.187860745071005
"Patient14"	0.199102473169509	0.16644634009031	0.168069197669277
"Patient150"	1.76695078808035e-14	0.0924272645491639	0.00641304167013152
"Patient154"	0.104926442777758	0.0489019638853821	1.49217516174941e-14
"Patient155"	0.0150824634966778	0.0479881072761453	0.0367085552868341
"Patient156"	0.00637741748910854	0.112777147646094	0.0136837144850782
"Patient158"	0.0981791543228354	0.0797327104474116	0.1949963437198
"Patient159"	0.0425950981342073	0.0584221428563993	0.0619130422633408
"Patient15"	0.335325093188287	0.0898058284737331	0.22509120705841
"Patient162"	0.0380923548263551	0.0515792132763389	0.176501002959531
"Patient163"	0.142140899859286	0.0167205375982267	0.0225847247899833
"Patient165"	0.0250975887795721	0.112980844760749	0.0853125672954861
"Patient166"	6.71575298591109e-15	6.71575298591109e-15	6.71575298591109e-15
"Patient167"	0.0982305385937005	0.267457432205369	0.221069556648978
"Patient168"	8.69746207121222e-15	0.00223551859929272	8.69746207121222e-15
"Patient169"	0.214914366473434	0.0516728054365411	0.169449570001757
"Patient170"	0.0358019629953974	2.51514851368267e-14	0.117108670331448
"Patient172"	0.471923049600148	0.0768748065354296	0.0815732186530013
"Patient173"	0.0177432905584559	0.197739525458777	0.000111596941549253
"Patient179"	3.57339385085738e-15	3.57339385085738e-15	0.000748514483764534
"Patient17"	0.240188715055992	0.228457624445288	0.146963373312343
"Patient181"	0.305934658212667	0.0809604779390489	0.235278668034202
"Patient183"	0.150041250613641	1.10239709138475e-14	0.097451960050882
"Patient184"	0.0743002145445386	0.0490579930085963	0.0266906220056897
"Patient185"	0.061823817383776	0.0532271866706591	0.0577919547311616
"Patient187"	0.279369786012106	0.166884148831171	0.0820165332734851
"Patient188"	0.00021391496104558	2.00705967840171e-11	0.00710558975422921
"Patient18"	6.3149411421636e-15	6.3149411421636e-15	0.0421218650386718
"Patient1"	6.63342191025571e-15	6.63342191025571e-15	0.009920873088115
"Patient20"	0.0285773681683471	0.213940604319436	0.285076335016782
"Patient21"	1.3337679190389e-14	1.3337679190389e-14	1.3337679190389e-14
"Patient22"	1.24531537507714e-14	0.0137179726171808	1.24531537507714e-14
"Patient23"	0.0117070471441805	0.00130919068645315	1.5507230155581e-14
"Patient24"	0.0616108520264834	1.38344738207262e-14	0.0150111900043038
"Patient25"	0.315341126766148	0.147005329148953	0.0533964712213682
"Patient27"	0.45287001633296	0.0141032307728127	0.200993761800308
"Patient30"	0.0991627819206762	0.120385223790746	0.240405779114225
"Patient31"	1.84424867807502e-14	0.100206169096297	0.0315650720950211
"Patient32"	0.0463014863196219	0.0434728337340437	1.49568714178235e-14
"Patient33"	0.418691811363259	0.154431595736874	0.0954428794535409
"Patient34"	0.0686102069830463	0.0492062278326284	1.52795201933667e-14
"Patient35"	0.0839783225377143	1.18386300547788e-14	0.104343937614003
"Patient36"	2.12233003610322e-13	0.0407399212026127	1.16044705484655e-14
"Patient37"	0.390021593474226	0.10575986682152	0.104630562157251
"Patient38"	9.54451824333746e-15	0.0115520200703181	0.00554247151361653
"Patient40"	6.94956674904344e-15	6.94956674904344e-15	0.00302318219307606
"Patient42"	0.00631902251046761	1.34221770821666e-14	0.0496853495284338
"Patient44"	0.300246539884832	0.0132786951546332	0.147015461040167
"Patient45"	0.247632564430033	0.226316138707079	0.14663495352328
"Patient47"	5.48268422622007e-15	5.48268422622007e-15	0.0079690598890045
"Patient48"	5.33559086448609e-15	5.33559086448609e-15	0.00296393650199843
"Patient4"	1.75707325257703e-14	0.136872558389723	0.0461346060196773
"Patient51"	0.132515335730893	0.133872168159072	0.151614861953767
"Patient58"	0.0355022070627093	1.29692653639301e-14	1.29692653639301e-14
"Patient61"	0.206629190590564	0.167679885278439	0.103027592952002
"Patient62"	0.0530650474287928	0.206403184243412	0.12918793893887
"Patient63"	0.00851723822401966	0.00446074406041494	0.116444054888382
"Patient67"	7.09012440107467e-15	7.09012440107467e-15	7.09012440107467e-15
"Patient6"	0.160951716638418	0.0272788006060202	0.0110735055277689
"Patient72"	0.197141342829335	0.0186479894795886	0.104582695463894
"Patient73"	0.0357683832364709	0.000289453088272551	0.0387267510701558
"Patient75"	0.270568378591147	0.0811341254967995	0.303506160113934
"Patient77"	0.187403581507433	0.198673690909913	0.224127466185405
"Patient78"	0.162967043330251	0.279220910968586	0.176825665717164
"Patient79"	0.0800643898150067	0.234182845086408	0.229897715329207
"Patient7"	0.0461902367765272	0.0480299105765506	0.0958029477215664
"Patient82"	1.29286192694547e-14	1.29286192694547e-14	1.29286192694547e-14
"Patient83"	1.0034990738492e-14	1.0034990738492e-14	1.0034990738492e-14
"Patient86"	0.411352845846029	0.109161788422405	0.207354689740494
"Patient87"	0.550924660500044	0.0545374124419874	0.16488701999022
"Patient8"	1.51958330464809e-14	0.0291246486900921	0.00847794138225961
"Patient94"	0.158870841139365	0.111631865279763	0.288320082480701
"Patient96"	0.000659265738748911	1.46834444088942e-14	1.46834444088942e-14
"Patient98"	0.296216564317637	0.12408451922366	0.277522693552169
"Patient99"	0.126971534826589	0.35821260488697	0.0591796958915014
"Patient9"	9.82368587532603e-15	0.00289277733803687	9.82368587532603e-15
"Patient56"	0.407415897309979	0.0695075080404706	0.0563002563021408
"Patient191"	0.114139494318524	0.272006868517456	0.196968782531996
"Patient189"	0.186630978974493	0.0269781809360357	0.087576844780078
"Patient200"	0.193004974450093	0.165467489733586	0.19296615274444
"Patient201"	0.00261556013238498	9.17550630831724e-15	9.17550630831724e-15
"Patient203"	0.268909110887503	0.0834182778045706	0.0890194744820497
"Patient193"	0.293012281033171	0.102861778254393	0.272250091732759
"Patient195"	0.485804874808206	1.50432246951565e-14	1.50432246951565e-14
"Patient196"	1.64600281084434e-14	1.64600281084434e-14	0.0049468049765924
"Patient197"	0.0215335277956968	1.22241335760264e-14	1.22241335760264e-14
"Patient204"	0.10604908995757	0.0551976034185846	0.186812418427256
"Patient205"	2.15016393469268e-14	0.215021039121865	0.105875378810263
"Patient206"	0.135316925927688	0.0973208562039912	0.0900001752146806
