"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"TCGA.DD.A4NG.01A"	0.00680987299418664	0.0639313011552376	1.80377314381013e-14	0.0123747311481779	1.80377314381013e-14	0.085802594875379	0.0135545548340683
"TCGA.G3.AAV4.01A"	1.14295574553272e-14	0.000563324222344127	0.0987907095776563	0.149691669114069	1.14295574553272e-14	0.150916717507937	0.0220635332907182
"TCGA.2Y.A9H1.01A"	0.0516914365205187	1.33395384321569e-14	0.0196278876979698	0.000885878260979889	0.00807275939091987	1.33395384321569e-14	0.0217854913424871
"TCGA.BC.A10Y.01A"	0.0997991755352532	0.0276518769863211	0.161254641507827	0.0679016311303789	0.138196174863727	0.104945618053912	0.092153398232779
"TCGA.K7.AAU7.01A"	0.0270298809345413	0.128599004147929	0.00597342673807416	0.00838347604368545	0.0947682882659358	0.130371599452915	0.107651186037688
"TCGA.BC.A10W.01A"	0.073402453175629	0.00848024669984077	0.0506350224037741	0.0208191418259894	0.121888378916647	0.236107303406319	0.0776603325729983
"TCGA.DD.AACV.01A"	1.20027417899949e-14	1.20027417899949e-14	0.184948037112462	1.20027417899949e-14	0.0605654010327923	0.124371971200005	0.079326986364386
"TCGA.DD.AAD3.01A"	0.0238937729320555	0.197032158986627	0.124773102044701	0.11246927417712	0.0653251907616919	0.0652335231546671	0.00218034464662257
"TCGA.DD.A39X.11A"	0.00756073838080409	1.55990635677442e-14	0.118887392598569	0.0677366652659612	0.0176502917314916	1.55990635677442e-14	0.0189338742229362
"TCGA.DD.A1EI.01A"	0.0145439952446675	0.0978414610038687	0.0430381443546909	0.0850403571618283	0.0556666788381242	0.148147474383518	0.015211598082363
"TCGA.DD.AAC9.01A"	0.00751530054202669	0.125247673845858	0.0279699438021615	0.0514312565516227	3.12386317002851e-11	1.8581550160419e-14	1.8581550160419e-14
"TCGA.DD.A1EC.11A"	0.0202746600145045	0.005876940453572	0.0950347883310228	0.330558503477622	0.0498743725217371	0.00855562383121767	0.039147457282253
"TCGA.DD.AACT.01A"	0.0911802900653924	0.0729452672971138	0.0785268048297722	1.79361591872464e-14	0.0273167173585713	0.0081640422964197	0.0546056399410966
"TCGA.GJ.A6C0.01A"	0.0543022739501458	0.0469003142688033	0.0496792142540361	1.10864902882266e-14	0.0571099847735358	0.0725080388690079	0.110387986947003
"TCGA.CC.5258.01A"	0.0818313894731984	0.0906859382840186	0.0906143162475844	0.0114241656585406	0.0372079421985332	0.203802987120374	0.0630535827304975
"TCGA.DD.A1EL.11A"	0.0384796882687456	0.0668614618631854	0.104854062136745	0.232302870132486	0.0276740697903844	1.71385162933548e-14	0.039045133723841
"TCGA.DD.AADP.01A"	0.0126750544324673	0.0917132230755581	0.11990760816075	0.106601167174335	1.58502223542891e-14	0.166675229518567	0.0839543937848049
"TCGA.DD.AACW.01A"	1.33980745029894e-14	0.0518446179005582	0.162396853899195	1.33980745029894e-14	0.151584398638209	0.0734781630534178	0.06901171962723
"TCGA.ZS.A9CD.01A"	0.000239832505781152	0.0746422787004061	0.0511407547325128	0.165017454100428	0.0153791877465268	1.94284810919761e-14	0.0321939880749384
"TCGA.UB.A7MF.01A"	0.224446492467201	0.0875195408043715	0.0453915694944389	7.07190155251133e-15	0.0913359735057121	0.00689806048827263	7.07190155251133e-15
"TCGA.WX.AA46.01A"	0.00455245693233865	0.00867498160926253	0.113294263930414	0.180239881988021	0.00880495797042985	0.0283976297773841	0.0531344230324637
"TCGA.CC.A8HV.01A"	1.12347057948153e-14	1.12347057948153e-14	0.0138514646466888	1.12347057948153e-14	0.0814727714500458	0.072065743541258	0.0693310440141142
"TCGA.DD.A39W.11A"	0.0168260488188354	1.47784126156547e-14	0.139629856549314	0.0629039376597296	0.0238047348907584	1.47784126156547e-14	0.0241813872382917
"TCGA.DD.AADQ.01A"	0.0112658513989686	1.62769451944455e-14	0.0558462377441229	1.62769451944455e-14	0.00236553449109467	0.00522266788732439	0.0218151299076875
"TCGA.DD.AADB.01A"	0.232472159752986	0.235656515945181	0.0408505246756651	2.74341366377468e-14	0.0166842498816636	0.137326988440302	0.00578603717003023
"TCGA.DD.A1EA.01A"	0.251195839452815	0.0606562853725544	0.0605958986974602	0.00840016512913713	0.114123258128812	0.209689627999966	0.0447289350352996
"TCGA.5R.AA1C.01A"	0.0298926369201803	1.21571698327363e-14	0.0325772556596387	0.0918586985132089	0.0774356496250782	0.0862650559473663	0.0829426324014174
"TCGA.DD.A113.01A"	0.0689407325830642	0.0449769417551134	0.0699864719611672	0.0294944744073258	0.215758795357515	0.0992243099373839	0.00150221672096343
"TCGA.2Y.A9H9.01A"	3.04509551644575e-12	0.00568559459373379	0.140907213116387	0.0633605133662567	0.0104113845682577	0.0981845537193277	0.0710511240538164
"TCGA.CC.A7IE.01A"	0.150875832205412	0.160942661035703	0.0605924578491517	0.0287958906380776	1.48932748041652e-07	0.00691563387057664	0.0220555979455148
"TCGA.XR.A8TD.01A"	0.358716863858542	0.102569754001323	0.0352257483273935	0.0981438187849756	0.0575382799288051	0.00329460531160599	0.0882264158213968
"TCGA.DD.AAD2.01A"	0.0804007240862287	0.196418813615495	0.0464305161759812	0.0917777403679018	0.0817493660738252	1.50107096705949e-14	0.0249248713808183
"TCGA.DD.AACY.01A"	0.0191390463978806	0.0470319433158407	0.109173768218742	1.87563696617437e-14	1.87563696617437e-14	0.000924623786692539	0.0425777091299891
