"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.S9.A6WQ.01A"	0.185314914429983	0.266657137103527	0.111383644983912	0.0270956369850466	0.0268181054604947	0.0384922851142308	8.73004198865212e-15	0.0072287566416264	0.062154217434188
"TCGA.S9.A7IS.01A"	0.0320362690884626	0.0609502230657458	0.0342657009606033	0.0262028519236793	0.0761968143955924	0.117774890590139	0.168306481080372	0.180795016827118	0.0349134185030167
"TCGA.DU.8162.01A"	0.0378553613147503	0.0216612388071007	8.25992320418712e-15	0.0219685193481054	0.14967431951026	0.131031975709573	0.133633171369294	0.0697217559368467	0.11693311612891
"TCGA.HT.7858.01A"	0.209856724289795	0.106668228221184	0.179535836257118	0.225692628906886	0.0532955280526637	0.0173634658864026	0.0505775643948359	0.102669666042918	0.0347132259193281
"TCGA.DU.A5TU.01A"	0.168773305284103	0.116083326128556	0.169343817300447	0.143818239926408	0.0225424821738816	0.062408959534522	0.0743365163184652	0.0206785052521146	0.0204961686547818
"TCGA.S9.A6WO.01A"	0.206470878494612	0.113717480387793	0.0460865430147781	0.141484895029187	0.0345097049857713	0.020965361723479	0.00583483079255458	0.0585293488776634	0.0919398122952432
"TCGA.TM.A84M.01A"	0.00316586998949761	5.91553736995804e-15	0.0289150521112238	0.0151807790585883	0.053892360501356	0.0444084514837021	0.0739529545303034	0.146957613599401	0.0806123548807964
"TCGA.HW.A5KL.01A"	0.03145769238818	0.0320294100646754	8.99412298354963e-15	0.0303938355705928	0.0239360800659172	0.000933141873619001	0.00677493745708881	8.99412298354963e-15	0.0226612289171547
"TCGA.QH.A6CV.01A"	0.136317872100667	0.229762142502734	0.119779852433019	0.0350986310548119	0.071212292584062	0.0544533021603077	0.0114387883114265	0.0922221479968786	0.123273084519692
"TCGA.TM.A7CF.02A"	0.0153891584500352	7.8227262441898e-15	7.8227262441898e-15	7.8227262441898e-15	0.0487655249334423	7.8227262441898e-15	0.0638647516851118	0.0311781688254178	0.158516134677445
"TCGA.DB.A64P.01A"	0.00301651994571732	0.016062440834306	0.03797964919724	0.0545176065454182	0.0976245882723205	0.0542528559993663	0.0655851104719423	0.0843445662285326	0.0299033922288133
"TCGA.HT.7485.01A"	0.0963155969192355	0.213133490201481	8.67675217469058e-15	0.0425353869993925	0.0706062251684106	0.0332175006518752	0.00134969424892283	0.145444550613435	0.0893038523195111
"TCGA.HT.7687.01A"	0.0691013788278105	0.0136787865057038	0.132088881823832	0.0551502554352462	0.150311495401175	0.00846193182952077	0.178517290262803	0.170189014462258	0.122853320788707
"TCGA.DU.5870.01A"	0.0161918532053533	0.0986365468740052	0.0335878948067351	0.054227414684705	0.135098446896147	0.0914759304018452	0.189654448385977	0.162244501554751	0.0844725076681741
"TCGA.E1.5302.01A"	0.193124915889892	0.177875051034952	0.0625243042342591	0.103994895192009	0.0425748123509795	0.112694675200191	0.0254690687568176	0.0434183625787154	0.0880953162432899
"TCGA.TQ.A7RR.01A"	0.13889067356181	0.221032521155621	0.0912949070489216	0.039178980780248	0.0517964751746142	0.0583839073050255	0.0141264916714001	0.0462592561158416	0.201873378751123
"TCGA.TM.A84T.01A"	0.0823272423900051	0.0525150735118579	0.0271966731142841	0.107429946937318	0.0744200028143164	0.0283945330128171	0.0399126838122698	0.0612308264134035	0.098403111994136
"TCGA.FG.6688.01A"	0.12432123482902	0.258349012235277	0.0644383960429225	0.101990722507601	0.0237289470020499	0.0866689588581055	0.0563799671105677	8.69483622544267e-07	0.139404924685406
"TCGA.TM.A84H.01A"	0.0469757083783673	0.0527054604635853	0.0027987029599066	0.0400445451693827	0.0533177361168511	0.0466675407511075	0.0541585528374917	0.114247578608474	0.28860917687554
"TCGA.DU.7294.01A"	1.01347851767307e-14	0.0288099585391345	0.0192110653074317	0.000436718166327597	0.0686565837846071	0.0173977343878516	0.0491898908311378	0.347096027302039	0.0263000948742142
"TCGA.DH.A66D.01A"	0.265802483093267	0.177702994642098	0.0741854633157263	0.105350592378478	0.0258326494953794	0.0829503754648853	0.0228795601802938	0.100699717539587	0.0737512784054525
"TCGA.DU.8161.01A"	0.219243902189024	0.0334407266803226	0.254656129649278	0.117422083940746	0.047500825045208	0.0830542410208434	0.0435764662014712	0.0378806078867284	0.0991760542739938
"TCGA.DU.A6S7.01A"	0.175038049498716	0.180134603203236	0.0296370306204978	0.123632472129777	0.0388133755965966	0.0386715832653419	7.66385335346206e-15	0.0851715132087867	0.0166217860416666
"TCGA.DU.A7TA.01A"	0.125842281977248	6.36585034815963e-15	0.173801895747415	0.131567575894801	0.050532907740346	0.0638762080567314	0.143407349144372	0.144036513116157	0.0769090029337583
"TCGA.DU.A6S8.01A"	0.000537980267365334	8.72609072233061e-15	0.00492880149556605	8.72609072233061e-15	0.0358971925174316	0.0318406043440667	0.113383761709535	0.138335028244912	0.0416501822602901
"TCGA.FG.A710.01A"	0.130421619962974	0.129133272999944	0.216159251077	0.171798513573927	0.055494181480433	0.0368350933545568	0.0962945610832715	0.012023542262473	0.0528067244196362
"TCGA.CS.4941.01A"	0.178806686748312	0.0507632528176947	0.176933954530741	0.108834812319888	0.0451449960304534	0.0718104590190145	0.0684880243655716	0.137567829241293	0.145197349141288
"TCGA.QH.A6CZ.01A"	8.66358863109428e-15	0.00950462289107242	0.000585695753585389	8.66358863109428e-15	0.0416715750312061	0.0311159521660642	0.0805446905987839	0.0948351318129667	0.0702697966996172
