"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"PB.16.002"	0.0170313755221107	0.133982736396763	0.0209553077172202	0.0780640505724189	0.268827449955901	0.0136937902032554	0.100915775009254	0.283826388242862	0.0287499923009231	0.0539531340792916
"PB.16.003"	0.0871937300248322	0.0290985364347095	0.0171498987785611	0.0710697331582338	0.0615175664225341	0.151544373533666	0.248116948208634	0.145597736375633	0.0783026407788945	0.110408836284302
"PB.16.004"	0.118037432420957	0.0551942375603263	0.0341988296801709	0.0537568881540404	0.0948198509484925	0.318846644808427	0.130828332908237	0.0730560116750574	0.0321092146942211	0.0891525571500698
"PB.16.005"	0.0144422645843839	0.0248179748689248	0.000348352770584713	0.0789403960498215	0.0879193289906566	0.0190532305984601	0.260145068562105	0.157021215380232	0.0674493266831677	0.289862841511664
"PB.16.018"	0.00630681217897998	0.0124805059470596	8.62478435836165e-15	0.120971557780112	0.395422547596285	0.00434675740479698	0.107014903497165	0.346216320292657	0.00383718718465986	0.00340340811827586
"PB.16.019"	0.0245243337740729	0.181415175993805	0.0236862991594125	0.174508504580465	0.12136666252806	0.0286505922321363	0.106104546965704	0.130745292533155	0.187440922146282	0.0215576700869066
"PB.16.020"	0.0706163891538683	0.20334514504493	0.147949890237272	0.00777230600301464	0.0645816375200633	0.0212495032137331	0.147050982404755	0.110350499939696	0.175517295495325	0.0515663509873423
"PB.16.021"	0.0582793386401179	0.150457294682609	0.11451787678683	0.0403505609473984	0.0187545534763451	0.0200701531638741	0.0992381781780098	0.0287389676785001	0.338703130428732	0.130889946017584
"PB.16.022"	0.194893916927658	0.116014280394137	0.26420569097386	0.00563678828729422	0.0126520082298276	0.0632948357797028	0.00505841379162822	0.000612440598506616	0.193228314958767	0.144403310058618
"PB.16.023"	0.115346014057247	0.213251527029192	2.84293037940799e-14	0.0402776415961212	0.0977282282778553	0.0519025099358564	0.19404505106479	0.170710181841283	0.0826764761958949	0.0340623700017308
"PB.16.024"	0.326182732277734	0.291754276965625	0.11338116348514	0.0234015437636733	0.0477857209531811	0.0149392553294372	0.0736824546033917	0.0425618948530612	0.0596373045969149	0.00667365317184201
"PB.16.025"	0.260285723720179	0.208889928455967	0.0565847004432383	0.0885057553493017	0.0852849798921768	0.0123019163838559	0.121193766648938	0.160298988462362	0.00433653198466188	0.00231770865931924
"PB.16.029"	0.0669978731236524	0.0742551912515528	0.0178412905081903	0.0696043683602951	0.197116055653125	0.00347878871121263	0.155171329718986	0.401999885350264	0.0112186479929518	0.00231656932976985
"PB.16.030"	0.228562611190424	0.101287335216433	0.295594770169768	0.0100620180351098	0.0331393873328928	0.0969005517240907	0.0287921009411933	0.00325498523185958	0.127743812645477	0.0746624275127518
"PB.16.031"	0.0564907872581823	0.0824770563217092	0.147108133558719	0.0398383200752084	0.28658519982899	0.0316492885176976	0.0578346012458028	0.163040264206777	0.123879042632728	0.0110973063541859
"PB.16.032"	0.0590164992070285	0.0992983492158873	0.00509260544308275	0.161216848621478	0.211584945359925	0.0641448162908999	0.14428950177158	0.243893494819288	0.011462939270815	1.64199041668471e-14
