"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"ipiPD1_2_PRE"	0.267288968302863	0.0798218194889217	0.0914337619547466	0.0556691285129507	0.232357701866094	0.0984163385081177	0.0426767605435744	0.115185774843497	0.00972932731281599	0.00742041866641956
"ipiPD1_6_PRE"	0.12428439503635	0.0734541572794207	0.0258076542272737	0.0528423918666434	0.123980429664433	0.0944208345415649	0.259049964093761	0.143232174948603	0.0308393471401712	0.0720886512017788
"ipiPD1_7_PRE"	0.175653008048284	0.180749107152921	0.0928292679075844	0.029127214317525	0.0467103359062704	0.0899451290886841	0.113877995853771	0.0728519606610912	0.172990744457122	0.0252652366067471
"ipiPD1_8_PRE"	0.040408546636366	0.118372946051983	0.00161892854974936	0.0807238482214692	0.120494149060792	0.100521122147489	0.223636550220927	0.279546257479185	0.00106112806397998	0.0336165235680588
"ipiPD1_10_PRE"	0.246989374213171	0.0212010899966324	0.000693856697903706	0.0477645811288661	0.149761383703386	0.0683870871598115	0.217241192326607	0.240417260276286	0.00321935514611893	0.00432481935121679
"ipiPD1_12_PRE"	0.0212924195737047	0.0938840954103431	0.0706457057748281	0.101874668625943	0.131565369661077	0.285059655329595	0.024164223723148	0.0912811934065208	0.0512884520382225	0.128944216456617
"ipiPD1_14_PRE"	0.117969963788919	0.118324539463092	0.02924603844399	0.100829309962717	0.0879281184581207	0.196410844487558	0.160190105166063	0.189101080229302	2.25249410952769e-13	1.25239049162063e-14
"ipiPD1_15_PRE"	0.129864848565288	0.264299215989122	0.0105188297386997	0.0928100990533855	0.0704337961789476	0.0458609137874666	0.203579360768797	0.173252632107349	0.000372922318380583	0.00900738149256348
"ipiPD1_17_PRE"	0.18113197454734	0.0503140853008428	0.0199783895793619	0.168725186424479	0.24189907775414	0.179028185455912	0.0356412767951766	0.119214441762744	0.00240129262092552	0.00166608975907903
"ipiPD1_20_PRE"	0.0207135381176526	0.0210262890106476	0.0129215266846518	0.0596202009043418	0.10831168207601	0.142045526233944	0.0425552166232804	0.118450346884511	0.116881070029424	0.357474603435537
"ipiPD1_21_PRE"	0.143256917171687	0.0528844307505654	0.0923553340789394	0.0732939288558318	0.12358389786148	0.0898890656847887	0.0695469550445613	0.0821634722940613	0.0917896825933577	0.181236315664727
"ipiPD1_23_PRE"	0.0346457533567335	0.0707958392286726	0.0167305069329097	0.11111532605583	0.215053899132428	0.110772807825172	0.210638981835775	0.226033629544713	0.00404396019250927	0.000169295895256937
"ipiPD1_24_PRE"	0.115851713097915	0.0440580104333323	0.0776538455694091	0.161614956935766	0.105265822904865	0.133893317220037	0.0788916995789374	0.169748084641155	0.0518467577893622	0.0611757918292213
"ipiPD1_25_PRE"	0.240686560140173	0.100348514995187	0.00165357138738589	0.0326105966318876	0.144861348984594	0.128003445536237	0.115500003268895	0.230136585807955	0.0043847097054328	0.00181466354225347
"ipiPD1_26_PRE"	0.0615459318568937	0.0838545402442925	0.0366247092316571	0.314599610743614	0.0702513187920346	0.0685496819879755	0.00284835071738377	0.0720116178612406	0.113396481346494	0.176317757218414
"ipiPD1_32_PRE"	0.0587017118569282	0.0654073142340698	0.0654851269145607	0.0851677841410895	0.0646664643087343	0.0277394538983765	0.129341362777166	0.120685128789445	0.25842793015774	0.124377722921891
"ipiPD1_34_PRE"	0.0924397675637003	0.133749754202129	0.0802137284014815	0.072614821384899	0.126241615451076	0.288398743802881	0.0651598049029972	0.100266855353454	0.00669772427329069	0.0342171846640922
"ipiPD1_37_PRE"	0.13541829985548	0.0732132323290047	0.142592120625058	0.0878279867049479	0.0621225061702859	0.0167203359489341	0.0335286701306913	0.0833430361216966	0.22957985909343	0.135653953020471
"ipiPD1_44_PRE"	0.386800356204324	0.129862635592457	0.0796380325495306	0.0338548907737284	0.0296359385471953	0.0657861031350578	0.021269048541644	0.025472588988098	0.122279048547755	0.10540135712021
"ipiPD1_45_PRE"	0.306347710909042	0.0949657631216859	0.0361451968326078	0.0877854077076462	0.142612701827315	0.175399122668729	0.0472333135086515	0.104561500175928	1.06391122683446e-14	0.00494928324838384
"ipiPD1_46_PRE"	0.0842668813706278	0.135360578442147	0.0999445485220783	0.0505124453856299	0.10256126560023	0.159039273158552	0.00418506144009915	0.0826595778432565	0.0654166671043381	0.216053701133041
