"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"Patient100"	0.346580750647717	0.147660633118046	0.214332299096966	9.45299717901251e-15	0.0539316607446328	9.45299717901251e-15	0.0476177813710458	0.120968704178266
"Patient10"	0.00550642881488532	0.0565647727414245	0.088461068983787	0.0601036003041917	0.173363456284378	0.00696719346686616	0.0172261863500876	0.0361832812513989
"Patient117"	0.12451385502508	0.207542441924698	0.0210388012291238	0.0525560260863115	0.104804906269639	0.00744247884589598	0.023621988696782	0.2489431119295
"Patient11"	0.000971183207686309	0.0523710061457125	0.0257750093494047	0.0273057677600276	0.0206988276759276	0.0175352995247368	0.0894372828711704	0.0133530098955332
"Patient121"	0.0691062565664334	0.0379123462259933	0.0919315197021125	0.0105996416607265	0.0191639316493289	0.00515258672306477	0.0225295708855121	0.025228275204935
"Patient13"	1.3654281546831e-14	0.0323466498864685	1.3654281546831e-14	0.0256880372965967	0.0957412952521541	0.0203459297151508	0.162777261147156	0.0534176759662387
"Patient159"	0.0301027351093245	0.153160236506918	0.0290888451552028	0.078565407641068	0.13218603725602	0.0262272212418666	0.158946313390707	0.116670144876925
"Patient15"	0.173909863287258	1.26916437658821e-14	0.0898965022323544	0.0283525372699858	2.59868570952132e-14	0.0718532470702445	0.0410670572681472	0.00160140654771391
"Patient162"	0.0306700373472916	0.0273332216699366	0.0957202312930975	0.0248493657481592	0.0843921022559	0.00603838994115052	0.043603236102594	1.5614486575025e-14
"Patient163"	0.0156730481871541	7.89496536917517e-15	0.0136296618865891	0.00471433473733002	0.0987097771017044	0.0343569502785396	0.0186603811576918	0.0351345014603432
"Patient17"	0.230335879637693	0.102693400427945	0.0780502675085659	0.0500768876925171	0.049880065195435	0.0568603293910595	0.0112024306330305	0.0170304421593355
"Patient187"	0.0525439340781451	0.0577126620766741	1.23704187874767e-14	0.0162464110792602	0.132930883750107	0.0357107655695594	1.23704187874767e-14	0.0771181010353872
"Patient1"	1.25398253486349e-14	1.25398253486349e-14	0.00756194267929465	0.0747724390451808	0.0513868790505993	0.00110486540848592	1.25398253486349e-14	0.00104475718005883
"Patient20"	0.0360014446091294	0.276726469640456	0.133563516541738	9.71112484861924e-15	0.0231098902563736	0.0030386294005998	0.283949401606446	0.0817737682544771
"Patient21"	1.62098997923725e-14	0.00920570805742949	0.0331435151659824	0.0147569473042128	0.0288237596118962	0.00675435576772011	0.00909274966357452	1.62098997923725e-14
"Patient22"	1.52009765990778e-14	1.52009765990778e-14	1.52009765990778e-14	0.0203238397270607	0.00623617453016375	0.0114447853867077	0.0230330828464224	0.046166554934966
"Patient24"	0.00435236017311898	0.00646607383790104	1.02036652426452e-14	0.0202259130863776	0.0823632860793198	0.0133072945071338	0.077547972718171	0.0408317364167329
"Patient25"	0.0734941613900226	0.105748148940383	0.0318639741357192	0.0382053904524492	0.0958353390139856	0.0547689075974599	1.25011007510082e-14	0.0959070253732
"Patient27"	0.218128731784999	1.3520647920497e-14	0.018924807217279	0.0223266174223147	0.0392905064680609	0.0403374318274391	0.0802081690766629	1.3520647920497e-14
"Patient30"	0.0651394840440206	2.24386802720927e-13	0.145043014985161	0.0163010663330786	0.00948682527906055	7.57724601031269e-15	0.0146841430477371	0.00920216229444294
"Patient31"	1.50161299206446e-14	0.031174393981792	0.00577489083187282	0.0232966781515543	0.0392109327421304	0.00953928880560157	0.0561820552672508	1.50161299206446e-14
"Patient32"	1.11492860264934e-14	0.0521095640815249	0.00312156137738256	0.00448678940397386	0.0142236678443379	0.0213556112897382	0.128830575562228	0.11335007458281
"Patient33"	0.269613989039415	0.222723252695596	0.0530999701062499	0.0142692045202298	0.18643046754305	0.016834284174307	0.0408000376141613	0.0517533459734203
"Patient34"	0.00522250925192733	6.70405457094651e-15	0.00694995636948703	0.338694901603431	0.19549020210953	0.00892806103717043	6.70405457094651e-15	0.0487724451481252
"Patient35"	1.10172872556125e-14	1.10172872556125e-14	0.0452663925546495	0.126491897274984	0.018041225927598	1.10172872556125e-14	0.00744938578465177	1.10172872556125e-14
"Patient38"	1.30071056062397e-14	1.30071056062397e-14	0.00612980965755715	1.30071056062397e-14	0.0306605677959579	0.0080084478251566	0.0261878673832893	0.0496085579998825
"Patient42"	0.00317447143036101	7.11658322048294e-06	0.0272183935800332	0.0357046958613651	0.00501509614153674	3.27047108683014e-10	0.050582519675621	0.0171404165323564
"Patient44"	0.170519376640584	0.0293680075085503	0.053789760553838	0.0425166954396628	9.61757107316295e-15	0.00563867896407097	0.023084156473705	9.81543518683758e-07
"Patient45"	0.0875744649334385	0.0946962709672927	0.140506597193133	0.0424345367949452	0.0347772910348261	1.3275044954145e-14	0.123520714388618	0.105937683924725
"Patient4"	1.19162268831099e-14	0.0489084980483413	0.0019761095968277	0.0494378800940945	1.19162268831099e-14	0.0708262223270926	0.128173619481458	0.0980121915902858
"Patient58"	0.00721046838453551	1.25569216368505e-07	1.73682706278171e-08	9.73351498704492e-15	0.0185628897911499	0.0374301860921153	0.0241666741368377	0.0451386927236598
"Patient61"	0.0614387430916505	0.0460082849697462	0.0620863991824491	0.0552349739736202	0.0326159642447168	0.0384152538930742	0.0428326933161515	1.37750218363175e-06
"Patient62"	0.0481405397837932	0.160933465420711	0.0618938706162826	0.0889281587145032	0.0518146330954761	0.00150379193310941	0.12174198748362	0.272287153288406
"Patient63"	0.00183111281683438	1.13185617998557e-14	0.0131517253010898	0.00674784735851492	1.13185617998557e-14	4.4315459393958e-08	0.0425727026662032	0.0123037646449996
