"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"PB.16.002"	0.0116122879578023	1.26389190856051e-14	1.26389190856051e-14	0.011957436975119	0.141372115941012	0.17902875425191	0.00314129448109184	0.0805222689710992
"PB.16.003"	0.0376870711963875	0.0532970922522261	1.5901786303876e-14	0.21598530119596	0.0561148792116834	0.0500303572465324	0.0318450356085825	1.5901786303876e-14
"PB.16.004"	0.0246892509772962	0.132719618467406	0.0198830297187741	0.139471298829214	0.0484988229487963	0.0257779577621217	0.0507061411754764	0.053292230918719
"PB.16.005"	0.0388845377323663	0.00111456667264751	1.56356502493911e-14	0.144425207790842	0.0279387110763899	0.0597359703284635	0.0516450220135403	0.0503696004869338
"PB.16.018"	0.0898878435592741	0.00301084772831616	0.0121907737763862	0.0382663273585349	0.114500966919093	0.352818729723562	0.00194603678239824	7.75641776928955e-15
"PB.16.019"	0.00459779016643938	0.00288803120883447	0.000363859016242889	0.127281131260729	0.0581138719737867	0.135941622601585	0.053758319409824	0.111242863726662
"PB.16.020"	0.0197773343686993	1.14874011668155e-14	1.14874011668155e-14	0.0752755646643012	0.11774911008536	0.0170985556050386	0.0297873992830941	0.173900938546075
"PB.16.021"	0.0331469762772312	0.0039209148523298	1.38926091986075e-14	0.091458763359107	0.0567878074852134	0.0197213401118937	0.167711772902561	0.119450606765149
"PB.16.022"	0.000479622204075888	0.0561629209490411	0.108536828218929	0.00824842656728759	0.00311787125292957	0.0636968011336619	0.357313410247432	0.242641737070156
"PB.16.023"	0.00845587466989343	0.0239078145548858	0.0214418233614138	0.133550188349149	0.128335310394784	0.0544751190909301	0.00185366977365369	0.104808206520368
"PB.16.024"	0.00890272068036502	0.00205563161864648	0.269029402209285	0.0679497138811398	0.0447548966528881	0.0443837152804496	1.98334190439956e-11	0.357962878495914
"PB.16.025"	0.0343327876024427	0.00972645771023073	0.178250538253917	0.054559674092733	0.0957270446371407	0.13463736883544	0.00464452110692654	0.190795623560731
"PB.16.029"	0.00302062260786271	0.00181341311709288	0.0581401012952234	0.104919331219066	0.202413161579033	0.177863906335559	1.07903068948218e-14	0.0732293779821305
"PB.16.030"	0.0185009896272265	0.0698444919613356	0.208854215132229	0.0742790760014349	1.22263742835682e-14	0.0987818496520276	0.219778733563201	0.127295771487613
"PB.16.031"	0.0487291071120805	8.42436607612892e-15	8.42436607612892e-15	0.0371761397260597	0.000610540691994511	0.428220539555277	0.0326781008802305	0.0437183579192638
"PB.16.032"	0.0012895120272417	0.00881888474444838	0.0362939032230098	0.0899309830706689	0.0502044600143707	0.283468447911669	1.14580641955472e-14	0.0595985668473289
"PB.16.034"	0.273367587485441	0.345790285219015	0.181268686033514	0.0090279585946533	5.12173964343279e-05	0.0279823062549054	0.109945742777657	9.23577256834419e-10
"PB.16.035"	0.0612409263595378	0.0087014855846632	0.0121113326043143	0.0289758651579772	0.0212530238958425	0.311967483933672	0.156588459852097	0.13824114280093
"PB.16.037"	0.0854717788846795	0.0534903760923368	0.00222152629424124	0.148010198871148	0.0693419842026394	0.0306389240737153	1.51173885874162e-14	0.129524442027684
"PB.16.038"	0.0183109923436003	0.0238822291760066	0.000472708198312567	0.0079862469018501	0.18597864827442	0.0269919713986607	0.117325840118017	0.259752276094412
"PB.16.039"	0.00638930884190202	0.0819765910939863	0.0964132540867022	0.0322627700114031	7.17380224927788e-13	0.147652231937504	0.153594190986567	0.194893009228083
"PB.16.040"	0.0409023564118957	0.0202052906846275	0.29782224592775	0.0101848068822856	0.00216167028635593	0.119110332828999	0.10125238156409	0.303192588859004
"PB.16.041"	0.0496918122567242	0.0361406708849251	0.000354756671158353	0.0388205610983076	0.0806522586296047	0.0165306265288652	0.210956247274109	0.0919629603476896
"PB.16.042"	0.0265153580670474	0.00365602517539521	0.00238271907502609	0.102596936372198	0.153156775041059	0.0690425266817388	1.25133878205388e-14	0.0784581223119156
"PB.16.043"	0.025533018903342	0.0643700621041041	0.0624317546500009	0.189553392228398	0.144351574634603	0.0384498111872297	0.0377597478813788	0.148633854134673
"PB.16.044"	0.0134056987876557	0.00693426253950881	1.26266631223531e-13	0.0156413729725843	0.0617386615248225	0.0297080391497315	0.236213786491509	0.138880989499176
"PB.16.045"	0.0263250832191169	5.64575673856864e-07	0.00901242003251341	0.19547014617677	0.116610520250242	0.0360774441997304	0.0210623589795433	4.88167707872918e-11
"PB.16.047"	0.0894225974251654	0.0309283972561825	1.4035641118428e-14	0.113324575555558	0.0404591957439443	0.0392720912697792	0.020819384914725	0.00660738463118713
"PB.16.048"	0.182779495819807	0.0912767035570091	9.31050284088828e-15	0.146252069512434	0.0739792909315711	0.143261266076456	6.39709574353891e-05	0.0157529457105703
"PB.16.049"	0.0531992197446137	0.0720723625403422	0.0014358568867306	0.108702104020214	0.0319141030016303	0.101376949243353	0.0113639592477111	0.00641459808396108
"PB.16.051"	0.0382185872946579	0.12985055729105	0.00462695683485905	0.15836775623461	1.97126785726264e-07	0.0668078713638107	0.122719547470207	1.30625022250294e-14
"PB.16.052"	0.0260325942835461	0.0401625815307404	1.61141882097439e-14	0.111569972807718	0.0230952269454752	0.0531603641077728	0.107262823183471	1.61141882097439e-14
"PB.16.054"	0.0206269834992038	0.0703631487026029	0.150057275397605	0.184872370878974	0.115459711552758	0.0579758280508631	0.0165665593025381	0.136437970232465
"PB.16.055"	0.0819245227861621	0.126801514501978	1.33038639197401e-14	0.129529912405593	0.019318398878703	0.115030524191186	1.33038639197401e-14	0.0104304835638118
"PB.16.056"	0.0298520833851369	0.158254266426843	0.000498320576320918	0.058673358847385	0.0158423024397504	0.0660134132048955	0.264187921725642	1.35360571942788e-14
"PB.16.057"	0.0515107794796843	0.123351421679074	0.0185778941053889	0.0233427362695888	0.249859536851155	0.0349581859103114	0.0527574511695053	0.0578200831514881
