"ID"	"S01"	"S02"	"S03"
"Pt_32_PRE"	1.89663289759383e-14	1.89663289759383e-14	1.89663289759383e-14
"Pt_24_PRE"	0.463098172111716	0.130639205929444	1.07355327081221e-14
"Pt_40_PRE"	6.69499813987263e-07	1.41689510785127e-14	1.41689510785127e-14
"Pt_49_PRE"	1.85909443382954e-14	0.0329116269480502	1.85909443382954e-14
"Pt_29_PRE"	0.012779422713727	0.014965640949622	0.0118294065429751
"Pt_22_PRE"	1.3140092477584e-14	1.3140092477584e-14	1.3140092477584e-14
"Pt_45_PRE"	0.33353340934445	0.0152832602660684	0.176107352341497
"Pt_14_PRE"	2.00664721570966e-14	0.0051207222438145	2.00664721570966e-14
"Pt_44_PRE"	0.14783878249831	0.196574559943087	0.385112919860246
"Pt_31_PRE"	1.35262898974681e-14	1.35262898974681e-14	1.35262898974681e-14
"Pt_23_PRE"	1.58970720109079e-14	1.58970720109079e-14	1.58970720109079e-14
"Pt_28_PRE"	1.35525273538598e-14	0.116769845812406	1.35525273538598e-14
"Pt_47_PRE"	1.89534005848385e-14	0.0131232151958887	0.0353685651800689
"Pt_48_PRE"	0.00666505834183868	0.0227554646832938	1.44957878144477e-14
"Pt_46_PRE"	0.422433497701015	0.221192615514463	0.107170869070226
"Pt_12_PRE"	1.52081805728449e-14	1.52081805728449e-14	1.52081805728449e-14
"Pt_15_PRE"	0.283190961922088	0.153444213128795	0.269379605692337
"Pt_16_PRE"	2.00831282946726e-14	0.0203823798530785	2.00831282946726e-14
"Pt_5_PRE"	0.243906480456449	0.126928668931145	0.178441863401037
"Pt_6_PRE"	0.105302105373783	0.129035263691673	0.393680645942699
"Pt_7_PRE"	0.400847928155591	0.195911878156845	0.0866817705842578
"Pt_8_PRE"	1.64794926118489e-14	1.64794926118489e-14	1.64794926118489e-14
"Pt_35_PRE"	2.28124248714943e-14	0.146569048284954	2.28124248714943e-14
"Pt_2_PRE"	1.06412690771563e-14	1.06412690771563e-14	1.06412690771563e-14
"Pt_1_PRE"	1.60303558161258e-14	1.60303558161258e-14	0.0551863236619911
"Pt_11_PRE"	1.9284485360971e-14	1.9284485360971e-14	1.9284485360971e-14
"Pt_18_PRE"	0.36900284457095	0.15164018364886	0.233196115700452
"Pt_33_PRE"	1.13714328180865e-14	1.13714328180865e-14	1.13714328180865e-14
"Pt_34_PRE"	1.56123279057793e-14	1.56123279057793e-14	1.56123279057793e-14
"Pt_37_PRE"	0.00424025365193558	1.31524407382779e-14	1.31524407382779e-14
"Pt_38_PRE"	2.43105803867639e-14	0.0109131684842768	0.0126244573540001
"Pt_42_PRE"	0.416652592050089	0.236735118577434	0.0486197087412587
"Pt_41_PRE"	0.0211287715717206	0.191932386174633	1.91365738591003e-14
"Pt_27_PRE"	0.333620784243951	0.0456280881332698	0.304339467676848
"Pt_43_PRE"	0.152984230939182	0.148055107210673	0.242902530230921
"Pt_36_PRE"	1.60151684668847e-14	0.208166360929911	1.60151684668847e-14
"Pt_13_PRE"	0.0946476436707085	0.0601603435144464	0.283521450666286
"Pt_3_PRE"	1.75608887570656e-14	0.013285965944914	1.75608887570656e-14
"Pt_17_PRE"	2.83355193707101e-14	0.130676032432223	0.0166441325957056
"Pt_20_PRE"	1.74576638938369e-14	0.0755308920452251	0.357344905652593
"Pt_21_PRE"	2.76387613210468e-06	0.312660985217276	0.0275502171692121
"Pt_39_PRE"	1.4879941624346e-14	0.0623266511868235	1.4879941624346e-14
"Pt_4_PRE"	1.9651150100117e-14	1.9651150100117e-14	1.9651150100117e-14
"Pt_19_PRE"	2.95200948767489e-14	0.0539484967494231	0.000793167111253782
