"ID"	"CE1"	"CE2"	"CE3"	"CE4"	"CE5"	"CE6"	"CE7"	"CE8"	"CE9"	"CE10"
"Patient100"	0.153352086514357	0.0196115625722957	0.138285676139132	0.0472606250132497	0.0631979681866355	0.0884955103602991	0.00916604609067069	0.0382363204997168	0.226552982792008	0.215841221831635
"Patient102"	0.0625992194591823	0.0835293025073197	0.143811212327513	0.130082940741823	0.109952832380481	0.127825692556203	0.0856641235262346	0.205585468446682	0.0244788301165551	0.0264703779380057
"Patient105"	0.0489362987693202	0.0313965390958662	0.00512304627380603	0.17086533355571	0.103162141829497	0.0479208804970067	0.182135973621924	0.336561271295994	0.0254110973272536	0.0484874177336217
"Patient106"	0.151455306182605	0.0624055505991178	0.163408109140949	0.0478809069413389	0.0956703014419551	0.0621270834394035	0.0990083299618708	0.103672850911397	0.164864093408107	0.0495074679732558
"Patient107"	0.0977417236938012	0.0294060265681432	3.4266014598658e-07	0.186870491924367	0.0110717143077443	0.212381963952203	0.170145181816264	0.172440447420061	0.0618388515171954	0.0581032561400744
"Patient108"	0.0360620899578975	0.0647896395140687	0.0393725168353639	0.0946671161279243	0.0561334114246238	0.155400491312426	0.154227852623285	0.247209493000041	0.0762945013529026	0.0758428878514677
"Patient10"	0.0740770613950537	0.067049572531717	0.0552058440608916	0.0930111085851122	0.154384243062497	0.168790511838316	0.0827090200448245	0.115621349583816	0.106099703171414	0.0830515857263581
"Patient112"	0.106667959788208	0.182791542991868	0.0183883753345106	0.0453977069718652	0.0607400049581664	0.13462711221173	0.0400475234543662	0.121378975848891	0.126455351852472	0.163505446587921
"Patient116"	0.0885442075037803	0.162993972088484	0.0227694084661794	0.113738685235838	0.0953833471730729	0.201311551967497	0.116694520352731	0.157663467284554	0.0121828509469147	0.0287179889809491
"Patient117"	0.222840216527943	0.0188241899764371	0.159994083284693	0.0864180331075765	0.088622369878489	0.15313670090599	0.0348288795540982	0.0571810205330382	0.0870770532530112	0.0910774529787237
"Patient11"	0.12970907854962	0.0837817580223798	0.121186310511336	0.0971237438604855	0.121061957843458	0.029129388529492	0.174075864578986	0.126471483538859	0.0821394699830201	0.0353209445823638
"Patient121"	0.0796525352862692	0.131487294971065	0.0652912628520608	0.0695660267999001	0.0984678322942049	0.136479986712533	0.0429176720672658	0.111437869310845	0.1382891693886	0.126410350317255
"Patient125"	0.0908871673521502	0.00638382064920707	0.030941319344386	0.0188093587322119	0.00978396854941682	0.0145220819483713	0.0187359639450036	0.0317622188644904	0.368402130710699	0.409771969904064
"Patient126"	0.182638592730005	0.0492905473986785	0.0641311976738757	0.0566824447795001	0.0452776341183023	0.0338084738078064	0.0678479161448108	0.106011682853477	0.252173856355164	0.142137654138381
"Patient127"	0.0456146615167969	0.183920926367251	0.0475114129015777	0.118549273989617	0.181633514510157	0.116090490018211	0.0285619263532027	0.22339767429779	0.0286067837407202	0.0261133363046766
"Patient130"	0.0320078986488981	0.0798312745791319	0.0956831680455697	0.132041777288364	0.169231495192111	0.0961355702798551	0.0521223951549848	0.145915800892728	0.132606140419221	0.0644244794991361
"Patient131"	0.172148621038662	0.0496213058774114	0.169676172004422	0.0800557895429795	0.0445136776429477	0.0859425159486823	0.136599628685319	0.107703351576053	0.106230300186716	0.047508637496807
"Patient132"	0.0783661001326326	0.0602883940074939	0.122218069630244	0.0326737455436938	0.0508842572818686	0.173035631826273	0.00634584457356712	0.0192853481844125	0.142198291658847	0.314704317160968
"Patient133"	0.138979894979225	0.186002416417002	0.138737915729547	0.0420922589554274	0.0194625247954657	0.0352935312894046	0.140925866036269	0.0578673361303535	0.148420710398966	0.0922175452683405
"Patient134"	0.14780345922814	0.21638396784066	0.0845996483025481	0.0198743989754675	0.0385603289389323	0.105171315819169	0.0458532430267644	0.0410782893752609	0.0901820313173995	0.210493317175658
"Patient135"	0.244950624836505	0.0872940066511878	0.0400398247986568	0.0394455823593185	0.0875621694496416	0.0510340592038789	0.138624320937377	0.129726346414921	0.0763354137277697	0.104987651620744
"Patient137"	0.153113337289174	0.0550388740649747	0.113259640713723	0.0192404886342033	0.0419347447045693	0.0511868490157898	0.0165025488698698	0.0334160042258751	0.264398756356215	0.251908756125606
"Patient13"	0.115996156288652	0.110429992024517	0.125755090885533	0.0678256485452403	0.213267346067948	0.0853652663158134	0.0829449167381582	0.192549514465284	0.000916555730520186	0.00494951293833385
"Patient140"	0.0669201987085385	0.204704568758823	0.0291898985924302	0.100394923596833	0.0855665419322998	0.0776768580097523	0.144507449414594	0.258689634627851	0.0187527965515993	0.0135971298072793
"Patient141"	0.342397455072453	0.122458812813507	0.00484474484557254	0.131366492597765	0.0801362052138316	0.0584213492557564	0.0972789242011065	0.147819284512805	0.00135030248716547	0.0139264290000377
"Patient142"	0.181002015349063	0.0440591287765404	0.138274304682642	0.0536900219471562	0.0521061123024574	0.0974734745386874	0.134238301425458	0.109096912958446	0.114401466166928	0.0756582618526214
"Patient143"	0.352151795983579	0.0652709000575182	0.00745578506313327	0.0265262298175816	5.75605715616716e-14	0.0858658416035726	0.291587459285085	0.0594718136628246	0.0908963375448254	0.0207738369818228
"Patient144"	0.177113607132276	0.105336548435295	0.0557620958416212	0.0852917307912414	0.0962229979828449	0.127977654748782	0.163446495230551	0.144703416569973	0.0211771419110099	0.0229683113564053
"Patient145"	0.207989799586372	0.0206583591665873	0.105442249714029	0.0313689062645349	0.0305846301743326	0.181835249105598	0.12344575767949	0.0884508827748804	0.127464240804899	0.0827599247292769
"Patient146"	0.170177304921357	0.0978343352008767	0.0402680093018329	0.0934967952666694	0.138045052825461	0.105676137962737	0.118089735589841	0.172856041541819	0.0171667179149808	0.0463898694744239
"Patient147"	0.113718963295566	0.171366082325621	0.0598830699134047	0.108579529877894	0.102156777301673	0.145144706757355	0.0475050860744736	0.226152068303163	0.012749612516747	0.0127441036341024
"Patient148"	0.142879581794014	0.0196720664764118	0.13945067879519	0.131296527833847	0.0550461665107166	0.146441825686437	0.108362600036592	0.173282156720517	0.0425491142503138	0.0410192818959608
"Patient149"	0.194001829361688	0.106477667789328	0.173708160333824	0.0323958462431154	0.0604549500405227	0.073998354604955	0.0231541750666037	0.0118350451939446	0.141365838605743	0.182608132760276
"Patient14"	0.106533535238658	0.0760977035151332	0.153871774020567	0.103302171894242	0.0253675376815697	0.133676583360906	0.0791432997335032	0.125087824992549	0.103011492404882	0.09390807715799
"Patient150"	0.149754259468491	0.0672059283911969	0.0580377293490146	0.161988412539732	0.0910570887191453	0.129892834784412	0.133707842828739	0.135011221492514	0.0350292117176296	0.0383154707091261
"Patient154"	0.114254144885703	0.103299873680951	0.0167087856038493	0.0682619296751111	0.110381567799739	0.36831427495979	0.0540882784700896	0.1035757443758	9.09200363083296e-15	0.061115400548959
"Patient155"	0.13744915265782	0.311227542412106	0.0591567716532445	0.0629202602724985	0.104030976364454	0.0869459262599631	0.0687362480363287	0.0975073271904981	0.0401981468037307	0.0318276483493564
"Patient156"	0.272272700089986	0.07151347112012	0.136023082338839	0.0402752915504329	0.138995142280608	0.145251207858777	0.0642649765989277	0.106591104482248	0.0152111549167017	0.00960186876335931
"Patient158"	0.118828679321585	0.0722063807545919	0.0590717680205158	0.0583612992407584	0.19473856095753	0.0572474048074328	0.0794292707748538	0.197358594721981	0.114262573132675	0.0484954682680774
"Patient159"	0.113705502340264	0.120750305642525	0.174694084169409	0.121101084671565	0.127383604669737	0.0967250283892051	0.0567880387173216	0.105834093427555	0.0495038756984921	0.0335143822739262
