"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"TCGA.E9.A1NI.01A"	1.43019483686075e-14	1.43019483686075e-14	1.43019483686075e-14	3.10084622922684e-08	0.0245341033072796	0.00393981366017662	0.196507971149331
"TCGA.A1.A0SP.01A"	0.0625996607098987	0.0666964378728406	0.0817642722421935	1.13158865768553e-14	0.161597243847642	0.109861172014849	0.0222454960354447
"TCGA.BH.A1EU.11A"	9.68259565338901e-08	0.0245628677922499	0.0873128874295316	0.377514936409226	0.0479154341194215	0.0904844789266533	0.134271532505633
"TCGA.A8.A06X.01A"	0.0839069865614343	1.65032611886272e-14	0.0148223045537593	1.65032611886272e-14	0.0669871355948054	0.068466499229711	1.65032611886272e-14
"TCGA.E2.A14T.01A"	1.22829534822743e-14	1.22829534822743e-14	0.0626174792363752	1.22829534822743e-14	1.22829534822743e-14	0.069612820475611	0.072189190158611
"TCGA.AC.A8OS.01A"	0.0988388543080289	0.164517618770423	0.0473293035491372	0.196526267428381	0.0145645375806562	0.0522295266193952	0.0529927492258028
"TCGA.A8.A09K.01A"	0.143368847134615	0.140706393187384	0.0412147201244195	1.17958182834349e-14	0.0138499288297093	0.144885690998439	0.0017320486698781
"TCGA.OL.A5RY.01A"	0.0808786283864422	0.33972335895596	0.0103099759166261	0.0736856924418765	0.00107973922629406	0.0695014818043087	9.18486531325125e-15
"TCGA.BH.A0DG.01A"	0.066273188734414	0.185424516350396	0.064683230548977	0.0826970019474538	0.0465467141158512	0.0975003454200738	0.0020467044147454
"TCGA.B6.A0I9.01A"	0.0133166591706762	0.0108942289316592	0.0496023956576626	1.55063422881384e-14	0.0811196655181341	0.130487332056765	0.0870062632821502
"TCGA.A2.A0CP.01A"	1.62993418314044e-14	1.62993418314044e-14	0.0835746419128944	0.0629709623800168	0.0609372160302198	1.62993418314044e-14	0.0991838424775917
"TCGA.A8.A07S.01A"	0.0162997365494467	2.41508889706592e-07	0.0216929204940976	2.04374720362294e-07	0.0602705937040561	0.0942988782639056	1.33617041910956e-14
"TCGA.AO.A12H.01A"	1.33895946769571e-14	1.33895946769571e-14	0.00739830023600254	0.0169567487376419	0.0337220221910862	0.0246498916879608	6.14204099563395e-12
"TCGA.BH.A203.11A"	8.06309398879237e-15	0.0058268961735708	0.0356999419658955	0.327361645891364	0.0844025805096539	0.0554104709824536	0.103786325585586
"TCGA.AR.A1AU.01A"	1.51578222270965e-14	1.51578222270965e-14	0.0755189430904851	0.128925224784969	0.0453395579606005	0.0954948513572635	0.0615269776331101
"TCGA.D8.A1X9.01A"	0.163070711170359	0.00675781890126271	0.00222641972048068	1.54645011780711e-14	0.136758990022602	0.22356633629342	0.00182291735047344
"TCGA.E9.A1RH.11A"	9.48005923242852e-15	9.48005923242852e-15	0.121155311940964	0.34095867622387	0.00635058957016539	9.48005923242852e-15	0.0277998965635187
"TCGA.A8.A07R.01A"	1.13650115052391e-14	1.13650115052391e-14	0.0386905645750573	1.13650115052391e-14	0.121411499638132	0.0712425008895611	0.0497197983004652
"TCGA.AO.A12C.01A"	2.27938448946055e-14	1.38899582489188e-14	0.0571833790214219	0.0367991903620516	0.0451514863954302	0.115173920249646	0.085047277445736
"TCGA.V7.A7HQ.01A"	0.000204632921982577	6.86540910812612e-15	0.0600788923854549	6.86540910812612e-15	0.015753305202663	6.86540910812612e-15	0.0265326992973166
"TCGA.A2.A1FZ.01A"	1.31417536535224e-14	0.0506016721799053	0.00239986522379712	0.253303080576095	0.0428656461968628	0.148081535957633	5.44388587352982e-06
"TCGA.AR.A251.01A"	0.0307945675167832	0.0690855223464882	0.0543367106661116	1.09782915063968e-14	0.124130008825603	0.273627362744099	0.0806365078562592
"TCGA.BH.A18J.11A"	1.43087655034858e-11	0.0138676907308334	0.0819685611125022	0.427526744593063	0.0852501873888414	0.0615505738383092	0.0378480041546492
"TCGA.EW.A1PF.01A"	0.0418108118451323	0.155037600608164	0.0530419358305981	0.0441520117190456	0.0820112942301502	0.0959903193134617	0.0126932673085873
"TCGA.BH.A18T.01A"	0.0328871276157075	1.18348711055873e-14	0.00502789921128627	1.18348711055873e-14	0.242708109578285	0.141026053172088	1.18348711055873e-14
"TCGA.AR.A24S.01A"	0.148546132865738	0.178726621904007	0.0438424141775157	0.00727488623024152	0.0159535961659327	0.0997241894832439	0.0619126772475682
"TCGA.AN.A041.01A"	1.29851029978043e-14	1.29851029978043e-14	0.00350665814336477	0.0173245496116394	0.0828293958064308	0.0627442481255736	0.180084724043508
"TCGA.BH.A0E0.11A"	0.00708191689963594	1.23286474282766e-14	0.101177192644917	0.131540448190978	0.117522826434037	1.23286474282766e-14	8.12151288052624e-14
"TCGA.E2.A1LL.01A"	1.34394573455639e-14	0.00764551178179595	1.34394573455639e-14	0.00353587962058381	0.00334158071394913	0.0453761908688476	1.34394573455639e-14
"TCGA.E2.A1IJ.01A"	0.095738484866106	0.251408405914702	0.100954310144262	0.159966902766391	0.0700873713944445	0.0124357264012116	0.0197301073749799
"TCGA.AR.A24O.01A"	0.0792275448731592	0.165274190602116	0.0248231892676004	0.197419064990235	0.0661427403415136	0.117885600882206	0.045514360406921
"TCGA.XX.A899.01A"	0.101094048240404	0.328136251521712	0.056121396633676	0.0967069309005671	0.0426026228907316	0.0666187332801248	0.0825583610703133
"TCGA.D8.A1XK.01A"	0.202616156363792	1.06889949923096e-14	1.06889949923096e-14	1.06889949923096e-14	0.134180482681013	0.188972362259261	0.0340550660761377
