"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.2K.A9WE.01A"	0.0672546314287001	0.0818916052450602	0.494911511692401	0.0282309024166366	0.203550180842974
"TCGA.DZ.6134.01A"	0.20250596436876	0.448099582029888	0.239697485148106	0.00795424015684584	0.0714719418033019
"TCGA.BQ.7053.01A"	0.0747979459924175	0.360646418084239	0.0680218064758926	0.141772805442706	0.197304908350182
"TCGA.GL.A9DE.01A"	0.0711271732737968	0.0305858722738697	0.0331712724095277	0.126935856305162	0.273201695950531
"TCGA.B9.5156.01A"	0.0783516542623063	0.506447366532613	0.206902899599794	0.0325549802686658	0.0656211518766318
"TCGA.A4.A57E.01A"	0.106554229185763	0.116252188421557	0.00155092661216811	0.168822868996785	0.146805615273608
"TCGA.BQ.7061.11A"	0.333344952502528	0.227258867812848	0.0349681655285062	0.253899618070146	0.143486182423705
"TCGA.2Z.A9JQ.01A"	0.0298812995194701	0.00130442866392829	0.128489034419213	0.0789337266026775	0.0509966048293516
"TCGA.MH.A562.01A"	0.00500314142744564	1.41755937429368e-14	0.277433017829535	0.117290147371415	0.110579739392767
"TCGA.UZ.A9PN.01A"	0.362579075848965	0.180471462830816	0.173232677393874	0.119146907301181	0.164569876625155
"TCGA.2Z.A9J3.01A"	0.0378936379678034	0.0439371031409391	0.0116153528227357	0.22131353830261	0.0415409613687863
"TCGA.UZ.A9PX.01A"	0.0335184919632559	0.000910881539327132	0.23948260670796	0.396672332752163	0.129704793282059
"TCGA.EV.5902.01A"	0.0539369842251038	0.173563259600851	1.11127405148701e-14	0.501912909925225	0.0121173097141813
"TCGA.DW.7838.01A"	0.0975990836692698	0.499682229085188	0.306259130362661	0.00381224882862931	0.0440432019406802
"TCGA.BQ.5883.01A"	0.118918808093335	0.443369389349677	0.0191685159162126	0.0986494550145153	0.148339628723377
"TCGA.Y8.A898.01A"	0.172137410476057	4.98728978859244e-08	0.399599572725846	0.138440915639632	0.0983459184996205
"TCGA.KV.A6GD.01A"	0.346316469110655	0.0833132960552472	0.352941816310354	0.0018212592905397	0.193576059133784
"TCGA.HE.A5NH.01A"	0.0764483476753493	0.317316924892479	0.102846280708822	0.347684539925445	0.0459172239737706
"TCGA.2Z.A9JG.01A"	0.0324240735242825	0.219262198361956	0.0433902277039182	0.397465189013687	0.0717677282375821
"TCGA.A4.8312.01A"	0.0862408237185028	0.0936006701436392	0.0419647418158339	0.198285767592334	0.117337593640639
"TCGA.GL.6846.11A"	0.332374884869994	0.0996183295355406	0.00503232055068989	0.121160645957414	0.297120460242482
"TCGA.BQ.5879.01A"	0.047910068403778	0.680487757512086	0.0833098686366679	0.0701939282198913	0.0859653980037629
"TCGA.G7.7502.01A"	0.11794133004134	0.21469355265775	0.306175929024044	0.272954481954334	0.0715143696612099
"TCGA.A4.8516.01A"	0.037878842567056	0.113918617224745	0.0911990921937458	0.277841955172511	0.1228703875345
"TCGA.IZ.A6M9.01A"	0.0117751319969443	2.51677951132479e-11	0.408090040463254	0.117654054529361	0.174354575027661
"TCGA.BQ.7045.01A"	0.0283342751806272	0.137024248141864	1.4767430783047e-14	0.0163550011440991	0.00968732326363116
"TCGA.UZ.A9PS.01A"	0.0545880237612771	0.288800493233678	1.42472963840639e-14	0.183321266936887	0.117702798736801
"TCGA.MH.A561.01A"	0.0270416598014903	0.378472594556629	0.2547437460609	0.123165717484397	0.0635376712015826
"TCGA.MH.A55W.01A"	0.106566977786596	0.0912701812101312	0.111121182680473	0.334589226476471	0.0899861802070009
"TCGA.IA.A83V.01A"	0.201286336563956	0.256160803055739	0.311464829480933	0.00369562594316863	0.183767231561231
"TCGA.B9.5155.01A"	0.0800318007966382	0.281292086954358	0.00216059097450415	0.298043740473374	0.239055661983355
"TCGA.B9.A5W8.01A"	0.0298550709209766	0.116004992304063	0.290364463160594	0.0470307806593308	0.398162594168759
"TCGA.2Z.A9J6.01A"	0.0558977448258134	2.21404445130424e-12	0.109912006921034	0.193715870916011	0.216098258815072
"TCGA.B9.7268.01A"	0.0446611735478841	0.195070174411528	1.30651044668232e-14	0.2876286064441	0.0408079049844394
"TCGA.GL.A59R.11A"	0.384554327683103	0.0768818021698787	0.0978919992959004	0.276214536712844	0.164452503018314
"TCGA.5P.A9K6.01A"	0.140511173522804	0.144370115787379	0.158450270751289	0.0313831556749378	0.128590153952301
"TCGA.Y8.A8RY.01A"	0.0282179931315541	1.55518528780703e-07	0.343660941082881	0.328926053011178	0.109025351841789
"TCGA.BQ.5894.11A"	0.276027508035531	0.160881168829182	0.0167046337164012	0.132670631591074	0.364448864822567
"TCGA.MH.A855.01A"	0.0376451021464751	0.256015772961046	0.229460663784873	0.0595590492784825	0.112243793812997
"TCGA.HE.7130.01A"	0.0595787262773265	0.262367005599865	0.0223474549587221	0.195206235929791	0.0450810557262989
"TCGA.P4.AAVK.01A"	0.167561540623462	0.100697447360782	0.00772194206504066	0.109378228498757	0.113007384817268
"TCGA.UZ.A9PS.05A"	0.0836083425942485	0.117281406171659	0.13241967040299	0.142343903706227	0.324236599785429
"TCGA.B9.4617.01A"	0.0715833942162295	1.50279771592446e-14	0.036878718163329	0.079941270726773	0.0227718074991807
"TCGA.Y8.A8S1.01A"	0.0847248873607603	0.0916371933398905	0.258854703502124	0.00632556370251115	0.254466617168345
"TCGA.G7.7501.01A"	0.09395123434615	0.342440424801786	0.000788350313649596	0.2589304517603	0.252677689798818
"TCGA.SX.A7SN.01A"	0.0499569924897211	0.0276633949481686	0.300353468564913	0.248690550295834	0.134720016455298
