"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"Pt103_On"	1.20105282409749e-14	0.0194681963824379	0.00489822813142527	0.0239900326021844	0.0435933877224418	0.017966034134814	4.23551191547505e-12
"Pt103_Pre"	0.00805900423648399	0.0353558109997919	8.20407281774936e-15	0.0102945098297279	0.0112499843410169	8.20407281774936e-15	8.20407281774936e-15
"Pt106_On"	0.0133198172416037	0.006254940675495	0.0182940728698283	0.0377186748572714	0.0308547986996567	0.0849111237740754	2.0702943907647e-12
"Pt106_Pre"	0.0422394232255835	0.0178042406664609	0.032324069085516	0.0766060206040766	0.0432467927714848	0.180189739585644	2.47392389593003e-13
"Pt109_On"	0.0767977168220215	0.0198717900000919	2.00671607852491e-14	0.010594897821253	0.0346228353861799	2.00671607852491e-14	0.0211124011227189
"Pt11_On"	0.116308209691563	0.0940309790858536	0.0184447184980754	0.14974506564353	0.0246207959068603	0.0973004470834259	0.0775355772278561
"Pt11_Pre"	0.16233786572919	0.0462872062044749	0.0183639698274712	0.120104647892796	0.00906564512972318	0.151690429692358	0.0409566948503319
"Pt13_On"	0.194967586506371	0.0953554825499676	0.000855382124265504	0.063980442219498	0.0854604737094729	0.175290024116591	0.034795502046047
"Pt17_On"	1.21706903943112e-14	1.21706903943112e-14	1.21706903943112e-14	0.010359039798606	0.0157652773052685	0.0894776638003157	0.109121425357054
"Pt17_Pre"	1.2847498400888e-14	1.2847498400888e-14	1.2847498400888e-14	0.0100397664882623	0.0157742008916617	0.131746387714616	0.11766333104538
"Pt1_On"	0.00193195827869391	0.0554141055846491	1.36721282270668e-14	0.0176981814049643	0.065577474876061	0.181513197052794	0.132961516963077
"Pt1_Pre"	0.15451863795175	0.191383380261795	1.21999922360982e-14	0.0289958457516891	0.0482536557373029	0.115737579839174	0.0590160315656324
"Pt24_Pre"	7.74583288021451e-13	0.139213044613292	1.43671612385482e-14	0.137628522654937	0.0591429016091195	1.43671612385482e-14	1.43671612385482e-14
"Pt27_On"	0.0447319514103827	0.0128867499289755	1.06062018528689e-14	0.0365748628212691	0.149107329765439	0.0414345352248061	1.06062018528689e-14
"Pt27_Pre"	0.0385469733803708	0.031971210712208	0.00451613637454086	0.0217123232367002	0.12444219935872	0.0379188761278011	8.52317504159683e-15
"Pt28_On"	0.262076721185997	0.2295335841122	0.0445204975445934	0.0131191856506315	0.000109644161641767	0.112849128458862	0.0495307770698775
"Pt28_Pre"	0.027089055312944	0.0386537514051069	0.087463745080577	0.0355355294733598	0.027946042963631	0.202910195853851	0.0794395966001851
"Pt29_Pre"	0.000422086289562663	0.0188388226490673	1.81200803696919e-14	0.100248559712101	0.00818995204485513	0.174464768376806	1.81200803696919e-14
