"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"Pt11_On"	0.080003908582037	0.0541022592083405	0.0577280229315866	0.103866296052457	0.109715798792197	0.0404833011219523	0.0971977136363655	0.242710420841929
"Pt11_Pre"	0.0670868213567693	0.0982345420380633	0.0549513268101761	0.148484385071192	0.123257780564656	0.0355385072710659	0.0853321256063252	0.279012356609903
"Pt13_On"	0.0268912530843152	0.104381078750686	0.0910741087006591	0.223125475179934	0.0730845960899059	0.0965223201721807	0.1557700241058	0.0534800441646289
"Pt24_Pre"	0.0173688577244815	0.0585375855954939	0.108669492491156	1.03707451626983e-14	1.03707451626983e-14	0.0169572605254614	0.121086923245754	1.03707451626983e-14
"Pt27_On"	0.01123762206606	0.0233519149037098	0.140157265176484	0.0125341272026884	0.126962659036236	0.103819106009253	0.0676219272769907	0.154873915558517
"Pt27_Pre"	0.274314319412975	0.0143872546998228	0.0397864875409746	0.0294206628778281	0.0462082159922656	0.0650350712241746	0.0286596309217548	0.0584522824708457
"Pt28_On"	0.0273843688761889	0.0847587797889887	0.179435399461468	0.0791131377800785	0.076246814544116	0.157691883509071	0.110282672666313	0.0900709144858522
"Pt28_Pre"	0.0450702713765027	0.0414853147542752	0.0897027995843298	0.232215941512075	0.0913913916644532	0.124901146999771	0.0032334921871973	0.044251799223123
"Pt29_Pre"	0.0346446311341481	0.036830415830003	0.0209080672381474	0.135205239011475	0.0661837838324456	0.161171815943273	0.0436035240201646	0.0771772974391134
"Pt31_On"	0.035537312224209	0.0700675206972343	1.08964817344924e-14	0.172442478485259	0.0273594871345113	0.0565250143639313	0.104952658404715	0.0383632729638037
"Pt31_Pre"	0.339687204627602	0.116219133339667	8.85276892217072e-15	0.10421684283483	0.0984543543686214	0.133590343289815	0.0172409598947131	8.85276892217072e-15
"Pt5_On"	0.00281004589569062	0.0291470236165732	1.13497490821999e-14	0.143035630997381	0.0456057478806452	0.0237890138883601	0.0459798671073596	0.177118075440722
"Pt5_Pre"	0.0121221928893538	0.00283873143140133	9.95133483958328e-15	9.95133483958328e-15	0.0249574667111418	0.0547581396515646	0.0513489023141034	0.0380802916351458
"Pt62_On"	0.0236132881456619	0.0292174661170661	0.00546011849465596	0.101635084263974	0.0758127029487981	0.0602112564458386	1.01247060542143e-14	0.0478551609630217
"Pt62_Pre"	0.0120982423093174	0.0117023114314416	0.00220478885112246	0.00144412821801915	0.00274540718778012	0.0302882265162874	3.88793906380588e-12	0.0155684744818258
"Pt66_Pre"	0.022309791568621	0.0515541589165832	0.00984507543848725	0.0486676142279794	0.177141107840737	0.274397188482204	9.40712354750995e-15	0.0591128322165863
"Pt81_On"	0.0713866995368133	0.0829579418565653	0.028262063821582	8.63495556689998e-05	0.110767081420327	0.0597257233623492	0.138266437949134	0.0509507931614089
"Pt84_On"	0.00958956762935187	0.103495327184267	0.0563666610700702	0.0750694809515124	0.0128790743712626	0.102063852895604	1.17377757701953e-14	1.17377757701953e-14
"Pt84_Pre"	1.17152183822232e-14	0.114356184578489	0.0349160363184931	0.0839012862171079	0.103994507167832	0.0878985117788746	1.32528618164707e-07	1.17152183822232e-14
"Pt8_On"	0.0224841648290653	0.024581684423486	0.0636066807077821	0.05991802699305	0.0126553293036616	0.0778550751135088	0.0213287559620386	0.0601855948706782
"Pt8_Pre"	0.0173349965957026	0.218439803035388	0.33825593235295	0.120599544464607	0.0946572754584951	0.015987688502981	0.0284462730070613	0.0593904477394787
"Pt9_On"	0.392280998018853	0.044300497172066	0.0745323745289888	0.0756553274630473	0.094209251275295	0.289712253847213	2.06102597844384e-06	0.0233506228417249
"Pt9_Pre"	0.129392549839732	0.0740400988327465	0.11923405172011	0.133559040242301	0.113604208065307	0.363300510088075	0.00230833048853023	0.0611011963565187
"Pt18_On"	9.77844237188868e-15	0.119034455392112	0.000463787062393069	0.100408471082365	0.19004765483775	0.0363223792977724	0.407489888916028	9.93746315145497e-07
"Pt18_Pre"	0.0352147369578559	0.0194890749566693	0.0116474892762564	0.0770489869250997	0.0408086663723213	0.120203623761002	0.27625141555812	0.0222149894126171
"Pt30_On"	0.0142378210788571	0.119644459777241	0.159445001148341	2.47103597798395e-07	1.06969635880945e-14	0.0107439407549814	0.302374958751502	0.0305717846633033
"Pt30_Pre"	0.056089511996728	0.0072058335512823	8.06939853684502e-15	0.0541091141288868	0.0891930316129094	0.279170374046879	8.06939853684502e-15	0.0257938450031174
"Pt35_On"	0.0256118383170905	0.0306289655117957	0.0240336393024163	0.0320152145460031	0.0982503618376575	0.0709693123126378	0.116900858807811	0.0694885879006908
"Pt3_On"	0.0365509758842333	0.0435553017470779	0.0565020678511857	1.21664350004721e-14	0.172162423522105	0.0666272584573818	0.00296883727002013	0.161623968456952
"Pt3_Pre"	0.0280488565263574	0.02095313337033	0.0918105664355651	0.165942866761322	0.0336193112616405	0.121964464085282	1.26500366949484e-14	0.219159052040475
"Pt44_On"	0.00349510271705516	0.445630203437536	0.29130982342468	0.0217509087005324	0.00805005986952431	0.0197481351099964	0.0324611123890431	0.0201372824727648
"Pt44_Pre"	0.033449591360259	0.114561572859294	0.201719136324863	0.155208953416086	0.0552969916404162	0.233083029841793	0.0375164031664056	0.0846371008327783
"Pt72_Pre"	0.0824356307155859	0.0719778054613016	0.0314809320194728	0.112043287533827	0.0721297136017537	0.0524758877086103	0.00774957203213199	0.0737018120432956
"Pt94_On"	0.0726839597736664	0.0341516379120093	0.0298481410348539	1.01523584038947e-14	0.0903218613744655	0.0831483073958124	0.00875718983077007	0.099050162641825
"Pt94_Pre"	0.0573591455004018	0.0962407417788647	0.0527804549205169	0.00225579137945137	0.0231404187261612	0.0953164590925266	0.0285410514855822	0.135746328673938
