"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"PD1_2_PRE"	0.203013636192712	0.0521484926113715	8.58066992931522e-15	0.236219571095479	0.23301764431223	0.210573172133509
"PD1_4_PRE"	0.256911365369876	0.150285703681211	0.0399071242620213	0.203182435884104	0.0987152681918362	0.00797325167071156
"PD1_6_PRE"	0.0615848250197021	0.0466662851235014	0.015928154463624	0.119447932156639	1.05901549713111e-14	0.0155464911414756
"PD1_15_PRE"	0.290026374395702	0.129815715390434	0.254124259501696	0.0455041261305623	8.36971454348634e-15	8.36971454348634e-15
"PD1_16_PRE"	0.169359384613554	0.101362564936478	0.200264950593204	1.08892495159728e-14	0.263913846545936	0.00755965044451562
"PD1_19_PRE"	0.0214285048742543	0.0378053576034117	0.15932188504117	0.00834265025842913	0.0205411973220133	0.166570452078268
"PD1_30_PRE"	0.0684424358138497	0.0114609852757877	0.0583895378361772	1.06052925447884e-14	0.35841167042707	0.0518288578733859
"PD1_35_PRE"	0.161748863992587	0.0798073057652752	0.0642892101827535	0.284963734066326	0.0446105619417529	0.0168024739608682
"PD1_36_PRE"	0.144141080343703	0.111914538839515	0.133146502024771	0.0510466439073847	0.130367344914082	0.181842423113679
"PD1_44_PRE"	0.0871446247506937	0.00953810492363105	1.32522978373031e-14	0.2811769905042	0.0772746844936975	0.119968808589002
"PD1_45_PRE"	0.0352699723298201	0.0951751911668599	0.0784326588349233	0.30773784428771	0.0575001337417771	0.0169518952480641
"PD1_46_PRE"	0.111792050616292	0.039651185577099	0.166095720272118	0.300390333310206	0.112434332580148	0.17793822325293
"PD1_49_PRE"	0.0575681203461484	0.069615412238235	1.8848457698039e-14	0.0813337741807245	0.146907222157046	0.123959667307648
"PD1_50_PRE"	0.0995051475535687	0.087902843765532	0.223994780429144	0.00227016255574326	0.270418112382646	0.131320843333878
"PD1_52_PRE"	0.0623140505066828	0.110001612849828	0.13696754882049	0.0603686511414025	0.0181118231218148	0.409691145376095
"PD1_53_PRE"	0.11764554634084	0.0701993666744624	0.0644413400190418	0.262323360216886	0.0381334674512291	0.0261602900997741
"PD1_3_PRE"	0.090753682198963	0.0773184220040061	0.223669559395143	0.0545844374745875	0.067783477680092	9.64649572693625e-15
"PD1_5_PRE"	0.10365942714679	0.120285802817302	0.244579651701307	1.06581193779054e-14	0.102401055057563	0.0415250157392511
"PD1_7_PRE"	0.066091390785605	1.1253006823462e-14	0.07402591564334	0.129025334553423	0.138142116570695	0.148120840539581
"PD1_9_PRE"	0.229366989266642	0.0686928825433488	0.143616859031332	0.133677894905997	0.235787077232957	0.00493185751719674
"PD1_11_PRE"	0.343825653161055	0.118551851438759	0.177867365774757	0.117793593636417	0.0344816216615335	0.0270688578567901
"PD1_12_PRE"	0.176159520770541	0.108635875754396	0.362058255717944	8.60791804315076e-15	0.0389425787187759	0.00786257763942617
"PD1_14_PRE"	0.061538648095431	0.0751657819902551	0.200476433443524	0.0805523754448837	0.0221422039717653	0.0260064651286571
"PD1_18_PRE"	0.164903739173505	0.128537121413213	0.0749514538196041	0.00971809000841686	0.312010210214929	0.131746460188393
"PD1_21_PRE"	0.0953822351894274	0.0759480293430067	0.194059528586463	8.2872203783705e-15	0.103496046470853	0.281495822709384
"PD1_23_PRE"	0.185324568228207	0.0491078245924644	0.0498573857509112	0.0597227283370772	0.311622117021955	0.18551532432683
"PD1_27_PRE"	0.0844197119557956	0.0632376936514844	0.532383820356229	0.000249729318062619	0.0426105695341799	0.0212022521346951
