"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.OR.A5JP.01A"	1.10284844137244e-14	1.10284844137244e-14	0.166961298725784	0.00854640060597932	0.105322998608272
"TCGA.OR.A5JG.01A"	1.38241464305452e-14	0.00719270245157616	0.0428500766291605	0.14830794963228	0.203407526464716
"TCGA.OR.A5LG.01A"	0.0580660986962256	0.343161261186402	0.246988615622005	0.0986894472408185	1.18037984925581e-14
"TCGA.OR.A5JR.01A"	0.323759141467102	0.041851034331645	0.0845237313532879	1.42638499739083e-14	0.123091088647163
"TCGA.OR.A5KU.01A"	0.035269321968742	0.0324610569831271	0.142032880326829	0.0641760590910457	0.0630184327370227
"TCGA.OR.A5LS.01A"	0.0131764077927223	0.0519546354709317	0.0359029520707215	0.0470595063541238	0.025459575693984
"TCGA.OR.A5L9.01A"	1.65772880010587e-14	0.0266244204479552	1.65772880010587e-14	0.026748146780826	0.0191266859553912
"TCGA.OR.A5JQ.01A"	0.350326767340496	1.77705744189291e-08	0.325951287827509	0.0435090838168892	0.0688066123281095
"TCGA.OR.A5K4.01A"	0.0845544705341503	0.0253150781081583	0.0346798276325704	0.206931899209642	0.210679506629347
"TCGA.OR.A5JL.01A"	0.244598916246937	0.209486766604451	0.0206362105807992	0.0772293768228332	0.0791194665132281
"TCGA.OR.A5LC.01A"	1.23971720426351e-14	1.23971720426351e-14	0.390414976820591	0.166163500793539	0.238483569691278
"TCGA.OR.A5K2.01A"	0.00610686801251194	0.105819114133544	0.0666637751696315	0.186747022290639	0.181634679657957
"TCGA.P6.A5OG.01A"	0.308326679126504	0.126276683262807	0.196641554622473	0.0557464491786549	6.09168172192816e-15
"TCGA.OR.A5JW.01A"	0.0452529876316901	0.217714289962289	0.130406228838156	0.0799479348960421	0.0333180755417655
"TCGA.OR.A5KO.01A"	1.38250917367033e-14	0.133284395157442	0.113275744697126	0.145967304146845	0.0963862770099285
"TCGA.OR.A5J8.01A"	0.236288763503871	5.04143725625182e-15	0.252777049590181	0.0432183058279957	0.0410659744879438
"TCGA.PA.A5YG.01A"	0.318634047540156	0.132329129518952	0.202943707120143	1.34423263131918e-14	0.000256896806707746
"TCGA.OR.A5KV.01A"	0.0105905962708676	9.61465699011989e-15	0.159192759142516	0.288855125168826	0.282830043340999
"TCGA.OR.A5L4.01A"	0.045203829613179	0.183652570561609	0.244298882366785	0.00180874384465363	0.04260040239477
"TCGA.OR.A5KX.01A"	0.0110984782298017	0.105626237529199	0.0642836030450464	0.20015211322912	0.144562640004714
"TCGA.OR.A5L8.01A"	0.00688299914297402	0.0834243807942563	0.0892930798021433	0.0740583474505623	0.0905009072193061
"TCGA.OR.A5JO.01A"	0.367105676521152	0.115029173234162	0.142859241923439	0.0174753353281413	0.0100776120215051
"TCGA.OR.A5JA.01A"	0.0269137500775965	0.145828678996787	0.0463646964430545	0.107877554722081	0.186272178494246
"TCGA.OR.A5LO.01A"	1.07327198391762e-14	0.00162305938339108	0.0112990785550224	0.100464871197728	0.249980689991188
"TCGA.OR.A5JM.01A"	1.35959130739584e-14	1.12565780458855e-07	0.117422166527034	0.015151286364303	0.123282993063179
"TCGA.OR.A5JV.01A"	0.292329912626136	0.0777618393234359	0.115793900877979	0.035773713846702	0.264227851242291
"TCGA.OR.A5JB.01A"	0.387753687546438	0.0268127095728718	0.107076438323413	0.0530388416946455	0.0152403569702876
"TCGA.OR.A5LA.01A"	0.102502376670066	0.0250670217329402	0.193286549211122	0.0570497810297957	1.98081181069946e-14
"TCGA.OR.A5JE.01A"	0.154329894929378	0.0124420659870943	0.108620333272877	0.167866420917568	0.119340315235691
"TCGA.OR.A5JZ.01A"	0.149084206861841	0.167997779099778	0.129724621570543	0.027026936691773	0.0665544595316595
"TCGA.OR.A5KT.01A"	0.158437151746067	0.366876329907254	0.124818229551077	0.122593627699283	0.111756558699956
"TCGA.OR.A5KZ.01A"	0.0640310145200857	1.16528900772579e-14	0.278863819933624	0.0994557448127168	0.10956293712593
"TCGA.OR.A5LJ.01A"	0.0257920267796738	0.0151078441430751	0.0101974335657289	0.176902765284837	0.131799247065664
"TCGA.OR.A5LB.01A"	1.84001553753669e-14	1.84001553753669e-14	0.134359569023011	1.8253579422294e-09	0.276999172424028
"TCGA.OR.A5LT.01A"	1.44375449030732e-14	0.0786830893134016	0.0576853920593225	0.0254582397587985	0.0781602361607249
"TCGA.OR.A5LD.01A"	0.0398509105009471	1.18641426846576e-14	0.0279298369160842	0.185653400422218	0.0135531223597212
"TCGA.OR.A5J2.01A"	0.0786223833190026	0.0795339838553343	0.217973317521421	0.0691749002824168	0.142198526794636
"TCGA.PK.A5HB.01A"	1.05664397090483e-14	1.05664397090483e-14	0.107246944749942	0.0941507049328732	0.222355886182267
"TCGA.OR.A5JS.01A"	0.0187023899563765	0.055691208447071	0.204958049714771	0.101301792632493	0.175498774485107
"TCGA.OR.A5K6.01A"	0.0360093867490952	0.0758117224484521	0.0828205508585726	0.211347621687051	0.201070534152852
"TCGA.OR.A5JY.01A"	0.0117332047308378	0.00276921887200491	0.0342210223012163	0.0424041583099521	0.226129797374828
"TCGA.OR.A5JT.01A"	0.0883647632693192	0.105791232208909	0.107749061450894	1.37948072807976e-14	0.0965264787918969
"TCGA.PK.A5H8.01A"	0.0960979779839209	0.251404712682521	1.12458578512054e-14	0.149313940672453	0.200198007026293
"TCGA.OR.A5JX.01A"	0.103551028447111	0.0821148389569174	0.119762702319455	0.276138271646332	0.0192576241922071
