"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"Pt103_On"	0.072842331768255	0.0801668217905601	0.0975473097588451	0.0310470650839798	0.188272468735163	0.177426547822668	0.00971623153138396	0.152777138627371
"Pt103_Pre"	0.0244539788124775	0.0161427348939105	0.0500414480080133	7.67669637009481e-15	7.67669637009481e-15	0.0419672260535469	0.0100789246003524	0.0316321147528696
"Pt106_On"	0.0649579504933127	0.0651054261147394	0.115938054087451	0.0125911710450513	0.157636166497357	0.0700928767495889	6.58673294598244e-06	0.17232518153592
"Pt106_Pre"	0.0566867522636076	0.170845832355882	0.188960767257761	0.0750843052201019	0.187462630760949	0.0936957994493824	0.0259098883524753	0.102763671804472
"Pt109_On"	0.0258183526515716	0.065842193311888	0.0346281667474225	0.0340476647877179	0.132057812341873	0.0159489261091431	0.0463161511872354	0.14112184334792
"Pt11_On"	0.0961260522687399	0.0693777420086219	0.073010103511447	0.12052958476324	0.12122668246992	0.0517418063464181	0.119937286274305	0.234383372031022
"Pt11_Pre"	0.0775645107715365	0.124488246164264	0.0713038777633223	0.15704856370346	0.131016492970778	0.0482142570182829	0.0959500940862977	0.255087530409255
"Pt13_On"	0.0401118234854807	0.121351612610089	0.105104219093817	0.219999078377971	0.0856754352114212	0.096932042838911	0.169650286031529	0.0470225146641007
"Pt17_On"	3.18546362047575e-05	0.0674772852242448	0.0206612869775787	0.135928480758527	0.110136778676194	0.0678091099763722	1.02901854462838e-14	0.0371083494506877
"Pt17_Pre"	0.00621529365330139	0.0890268410609396	0.0270597784563988	0.197502487651399	0.0809818338846323	0.0786203182315886	0.000316795778904195	0.013104920869719
"Pt1_On"	0.0515702618682904	0.0295628643215132	0.00866981329503899	0.170467545007807	0.0990166687154048	0.169520679656982	0.028123389339062	0.133962801263467
"Pt1_Pre"	0.0565102650693736	0.0133967719394738	0.0336823187912218	0.121127112081451	0.101081863938365	0.143308238652057	0.148804129489213	0.175307335615335
"Pt24_Pre"	0.0287712355527988	0.0928221422014095	0.143913937381396	1.19387735086946e-14	1.19387735086946e-14	0.0283298002660484	0.153807052547756	1.19387735086946e-14
"Pt27_On"	0.0183919182708563	0.0294405668002797	0.162772735815402	0.0141452070065487	0.14834583178334	0.141594707970833	0.0830014437932231	0.165157409348404
"Pt27_Pre"	0.337135503232821	0.014537255964787	0.0470372232276409	0.0298728717872993	0.0607037489083286	0.0783488319322782	0.0361753523785975	0.0726544362303482
"Pt28_On"	0.038614283342421	0.100868666734671	0.199219364683074	0.0890388322770623	0.0850891002085002	0.185803854697003	0.122187076515208	0.0799408139526901
"Pt28_Pre"	0.0573280800107819	0.0627737278512478	0.114204178321543	0.227756840064288	0.0937261719575195	0.152301017613813	0.00618845577284396	0.0390269700703038
"Pt29_Pre"	0.0373840072511733	0.0469646829093431	0.0307374281338029	0.158861209288194	0.090479538300686	0.178720246595051	0.0615763087580051	0.0769489694241838
"Pt31_On"	0.0415807943465379	0.0774436015992089	0.000626016434955653	0.186857921984759	0.0524219109755698	0.0776364592679391	0.120731742395064	0.037655834952398
"Pt31_Pre"	0.378342911393749	0.125046726387528	0.000258823585083872	0.113704345014907	0.103619548656902	0.135990392031332	0.024395840227824	8.52359714472773e-15
"Pt32_On"	0.00206088950268127	4.92174216961177e-15	4.92174216961177e-15	0.00323278688085052	0.000460354276531278	0.00181449773708746	0.0376272711286672	0.0102777403493612
"Pt39_Pre"	0.0345913023735486	0.0304581274912433	0.012045859008008	0.041734409414352	0.0211804793487304	0.24588718164517	9.58920014982158e-15	0.0113655017689338
"Pt46_On"	0.0271045525806687	0.039395742778698	0.164727455131712	2.60544017980251e-12	4.3151735270846e-10	0.00121797166670144	0.128505551084639	1.08631323296926e-14
"Pt46_Pre"	0.0106044829017611	0.0281821477788163	0.195166275870588	1.09912856928958e-14	1.09912856928958e-14	0.0172588354088725	0.15652157017533	0.0045182844715294
"Pt47_On"	0.0464982570669221	0.0475663398316366	0.161014246888983	0.191712884189841	0.122639425076424	0.155400434422949	0.0416768185449024	0.217334555736985
"Pt47_Pre"	0.0568409145202547	0.112518359859528	0.250192955414443	0.189785048957537	0.0936282996902257	0.128395876700656	0.0705780059723017	0.098060538885016
"Pt52_On"	0.022211117932128	0.142203993886163	0.119760298204992	0.0791924690486913	0.219160791990909	0.234368404142645	0.0128982541012576	0.0951600285264104
"Pt52_Pre"	0.0199512705638476	0.148914830265836	0.0675579897532455	0.0381837942509894	0.157319974360984	0.281693155232555	0.0088206821290885	0.0754613634222979
"Pt5_On"	0.00533348710054595	0.0350169633492179	1.19962897205194e-14	0.159925931069311	0.056442009374354	0.0427328999069395	0.0615002610611498	0.162816474745562
"Pt5_Pre"	0.0342330043975017	0.00661134040728189	1.15669573179425e-14	1.15669573179425e-14	0.0301828239272812	0.0897392779856756	0.0707918527197218	0.0598032728748012
"Pt62_On"	0.0277439357800605	0.0408775840526258	0.00795492805844633	0.119097450773039	0.0888800738102066	0.0769193626073602	1.14218846589599e-14	0.0412130019260106
"Pt62_Pre"	0.0171672244824422	0.0164750673218104	0.00311739994021984	0.0013882485495974	0.00799670396476962	0.0494738934317357	9.4177456359407e-15	0.0242759923255645
"Pt66_Pre"	0.031953133990129	0.0580276394590689	0.0138223955705472	0.0551130795191512	0.173539084184778	0.318704592051433	9.73479883197788e-15	0.0725492275085712
"Pt78_On"	0.0365968443990032	0.328245385902928	0.0313583352043239	1.12437803829714e-14	0.0140927000324843	0.118036593481684	3.31550449737002e-09	0.0453095516132385
"Pt78_Pre"	0.0177284858606436	0.0218631411757046	0.0128952133864388	0.00705071288250433	0.0109361250071183	0.0937478629354125	8.94350750878169e-15	8.94350750878169e-15
