"ID"	"S01"	"S02"	"S03"
"PD1_2_PRE"	0.0618080056165736	0.255364637275353	0.52563064983507
"PD1_4_PRE"	0.355030323089097	0.31902247285636	0.212614919314425
"PD1_6_PRE"	0.0556799501709715	0.0561315884263555	0.139450572285106
"PD1_15_PRE"	0.228621038418917	0.212997905679212	7.80546319100438e-15
"PD1_16_PRE"	0.141546787960406	0.184611221747602	0.202136342218488
"PD1_19_PRE"	0.0971902031463973	1.25390664594675e-14	0.117739852474115
"PD1_30_PRE"	0.0221117755724213	0.0173757087605344	0.305117860517126
"PD1_35_PRE"	0.0728694594627435	0.291777011643569	0.097297949293701
"PD1_36_PRE"	0.253380902755025	0.277554791198727	0.171482055032819
"PD1_44_PRE"	0.0619171698669495	0.0148204332419416	0.49140206011439
"PD1_45_PRE"	0.1444348750228	0.117257207186334	0.15604082877086
"PD1_46_PRE"	1.55535258778082e-14	0.126106551718674	0.459699726751254
"PD1_49_PRE"	0.15499527284584	0.0814201065928746	0.204871397703923
"PD1_50_PRE"	0.248687605029211	0.10271686889674	0.411642164019875
"PD1_52_PRE"	0.0211379392888409	0.11711190508898	0.402635144965467
"PD1_53_PRE"	0.180781233219496	0.250667657572134	0.162066434608005
"PD1_3_PRE"	0.12971372577099	0.101685044433021	0.0154552944012301
"PD1_5_PRE"	0.313414015909327	0.0640985965787933	0.0665420912629429
"PD1_7_PRE"	1.13264050942264e-14	0.0471654677916007	0.451439618539998
"PD1_9_PRE"	3.86330894311512e-05	0.290661041935002	0.347790320060486
"PD1_11_PRE"	0.363815666236444	0.368795855034708	0.0200079047885839
"PD1_12_PRE"	0.119419867100295	0.189977567809411	0.0718971498549089
"PD1_14_PRE"	0.194777936178307	0.0348278297767295	0.0689424816984825
"PD1_18_PRE"	0.0688022008241467	0.270479408214338	0.289530852328014
"PD1_21_PRE"	0.173864226942364	0.164577166173508	0.243863200112092
"PD1_23_PRE"	0.15445763732043	0.148052988260173	0.416268591150648
"PD1_27_PRE"	0.142373674149724	0.0449268514555617	0.00919110588771348
"PD1_34_PRE"	0.0347284859980961	0.166049172745722	0.36837907684606
"PD1_38_PRE"	0.0397575602474264	0.316910013311678	0.343407362874207
"PD1_40_PRE"	0.0476127463068879	0.101114660339875	0.499822190945396
"PD1_42_PRE"	0.114181686252127	0.5399780984319	0.0781614176896285
"PD1_54_PRE"	0.2995543612396	0.0647189451194473	0.0794617302032689
"PD1_8_PRE"	0.0766189146833162	0.122253782542011	1.07055631163991e-11
"PD1_10_PRE"	0.0651281474916012	0.225064128761428	0.0843960081641576
"PD1_29_PRE"	0.0434938645049888	0.0755569414816081	0.0273887867791773
"PD1_47_PRE"	0.0297055082578321	0.33614647400212	0.477058448447779
"PD1_48_PRE"	0.0538319858873788	0.0648288607218624	0.653759464179088
"PD1_13_PRE"	1.17709244071128e-14	0.162431442939549	1.17709244071128e-14
"PD1_17_PRE"	0.0504420703241466	0.289593943905905	0.491447473396468
"PD1_25_PRE"	0.0897406719911048	0.279913290235463	0.38648970587583
"PD1_41_PRE"	0.0273955013369982	0.219553599188833	0.418993726077242
"PD1_8_EDT"	0.138442412672019	0.261083185807177	0.316961841246195
"PD1_10_EDT"	0.138879632056533	0.399205103870586	0.266287559392201
"PD1_29_EDT"	0.0440179307737294	0.0604105442742317	0.0504779383897148
"PD1_47_EDT"	0.120764611982929	0.0893376403135581	0.34530734460486
"PD1_48_EDT"	0.169146469429485	0.00482367891336275	0.573953985800346
"PD1_13_EDT"	0.0549382808767157	0.0600675693585581	0.156879787781471
"PD1_17_EDT"	0.267022957622617	0.242068024904568	0.360499416867209
"PD1_25_EDT"	0.16469201528033	0.180887940602041	0.455483766924414
"PD1_41_EDT"	0.0528858295642617	0.416139579569478	0.503903074229424
