"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"TCGA.OR.A5JP.01A"	0.0310365960674698	1.50962920045762e-14	0.020235379056535	0.053276034726694	0.0682245122910362	0.040698623537512	0.0945279505856254	0.0881077826222241
"TCGA.OR.A5JG.01A"	0.0461744745796688	0.048144736952553	0.0275327973420435	0.0334599987200482	0.0557062536273867	1.79284436842282e-14	0.0303748196003278	0.0731287563882984
"TCGA.OR.A5LG.01A"	0.0230726422081522	0.0877735324554258	0.0410670982375635	1.04680468727395e-14	0.0517350932351055	1.04680468727395e-14	0.0726219876109234	0.0448072881514124
"TCGA.OR.A5JR.01A"	0.0829581247040003	0.0970491711375575	0.0689918827965574	0.0444624029911231	0.041840320565547	0.109433485238326	0.111308248817051	0.0340795224933249
"TCGA.OR.A5KU.01A"	0.0199409856369722	1.11882156374891e-14	0.022772651197897	0.151814006183108	2.28937045639156e-10	0.0319450787240035	0.0123447232336884	0.0558506871997927
"TCGA.OR.A5LS.01A"	0.0218930018630766	1.25374381413865e-14	0.00641255462968385	0.0369111424266981	0.0541371531698944	1.25374381413865e-14	1.25374381413865e-14	0.012411364843875
"TCGA.OR.A5L9.01A"	0.0012806328969029	1.62194946218471e-14	0.0031499746878262	0.00382325160371413	1.62194946218471e-14	0.00745147524802658	0.0111396877306002	0.00839319619314362
"TCGA.OR.A5JQ.01A"	0.254673108056637	0.07183768616056	0.0568294217241305	0.00817548302023605	0.0824184227039403	0.151153705705342	0.038884663413285	0.0938812697840472
"TCGA.OR.A5K4.01A"	0.0140282583873453	0.00669123296398096	0.0926004637156006	0.115794463541013	0.0186006572521847	1.37556740404086e-14	0.0680749023691875	0.0863781657219635
"TCGA.OR.A5JL.01A"	0.0252057691040603	0.058106850853895	0.0278188163967376	0.112932527560117	0.0913087839910488	1.11290348431948e-14	0.0668678583316254	0.0222647754780865
"TCGA.OR.A5LC.01A"	1.6847238213678e-14	0.00199291061946601	1.6847238213678e-14	0.00958365719369953	0.109687094781683	0.0289662418393313	0.0281577138459288	0.108367517499
"TCGA.OR.A5K2.01A"	0.0215536197332924	0.0768810282969126	0.0217827174707925	0.00597634684137144	0.149747270309985	0.020590881281064	0.0695248198902917	1.74915994704117e-14
"TCGA.P6.A5OG.01A"	0.1404121641615	0.186127948581644	0.124483530303081	0.00601807084686896	0.0959200276046918	0.00207420109322674	0.176889358860731	0.0570972247912023
"TCGA.OR.A5JW.01A"	3.22250588355091e-05	0.0604703119603233	0.0131538653024163	0.127603294661202	0.0834849624265016	1.43913885404074e-14	1.43913885404074e-14	0.0577269085571534
"TCGA.OR.A5KO.01A"	1.53994242394993e-14	0.000399345155019135	1.53994242394993e-14	0.11890814696004	0.0146027965873544	1.53994242394993e-14	0.0569331614592441	0.0732657770632606
"TCGA.OR.A5J8.01A"	0.121685732769136	0.134050377143336	0.115862368913786	0.0278951166665033	0.0796267756429284	4.33337342409587e-15	0.0744379100076373	0.157836491455953
"TCGA.PA.A5YG.01A"	0.223595512453631	0.118337469028964	0.0311519219039815	0.0269835620764821	0.102021646788562	0.0672117248199659	0.038216108820945	0.107300991138996
"TCGA.OR.A5KV.01A"	1.12481933866591e-14	1.12481933866591e-14	0.00311304376364891	0.0973074835276057	0.0407632180237638	0.00370239625222016	0.0233964481698705	0.00331042777737268
"TCGA.OR.A5L4.01A"	0.0154680716857112	0.00746838974790218	0.0594634416701716	0.0257702125149089	0.226087287366627	2.1037462218191e-14	1.27233564779196e-09	0.0874619902667381
"TCGA.OR.A5KX.01A"	0.021617327940351	0.0228556393479727	0.00795362328423714	0.0601330634306548	0.0649169188586785	0.0443339618807062	0.0707533046430208	0.0318555895143158
