"ID"	"S01"	"S02"	"S03"
"Pt11_On"	0.136271252101082	0.172747673222723	0.235691564056312
"Pt11_Pre"	0.0887040307180622	0.175230681541094	0.2084289702918
"Pt13_On"	0.215570332569877	0.173991103227718	0.245589151016462
"Pt24_Pre"	0.0731929075898867	0.42934761477168	1.44924988515127e-14
"Pt27_On"	1.92864514533686e-14	0.228493053425224	1.92864514533686e-14
"Pt27_Pre"	1.43964807034068e-14	0.041185193403722	1.43964807034068e-14
"Pt28_On"	0.241191981158227	0.124506310545195	0.192485783819282
"Pt28_Pre"	0.0163416646755115	0.0319534921598808	0.0401592524195474
"Pt29_Pre"	0.00125944698770875	0.076176996247023	0.00177402530813911
"Pt31_On"	0.291500389457551	0.183347942212035	0.186079263605101
"Pt31_Pre"	0.191077475020693	1.88813136590478e-14	0.0839662321984314
"Pt5_On"	0.0374201895964121	0.0881924949147059	0.123679176714063
"Pt5_Pre"	0.0834480894295306	1.67503597285952e-14	0.156949659225459
"Pt62_On"	1.20703724723887e-14	1.20703724723887e-14	1.20703724723887e-14
"Pt62_Pre"	1.05145738317638e-14	1.05145738317638e-14	1.05145738317638e-14
"Pt66_Pre"	9.32949619390958e-15	9.32949619390958e-15	0.00887664858843958
"Pt81_On"	0.202924268543214	0.224062231137901	0.192446749756756
"Pt84_On"	7.31766813222866e-15	7.31766813222866e-15	7.31766813222866e-15
"Pt84_Pre"	6.8070771884494e-15	6.8070771884494e-15	6.8070771884494e-15
"Pt8_On"	1.74230145733083e-14	0.0343616044749178	0.103135138679945
"Pt8_Pre"	1.95274057237571e-14	0.0704156637152661	0.130621935044566
"Pt9_On"	0.0417392077028641	0.00613396146397437	9.81826316794214e-15
"Pt9_Pre"	0.0408376867009363	0.00629450450214617	1.13198334669889e-14
"Pt18_On"	0.521681042877732	0.0422014468377928	0.0517079841243131
"Pt18_Pre"	0.331919821265059	0.0536159280228664	0.0783213996601441
"Pt30_On"	0.32700431021097	0.245121917772255	0.172713809010913
"Pt30_Pre"	0.00356882945343666	1.22086993137438e-14	1.22086993137438e-14
"Pt35_On"	0.333514210596191	0.171914291653038	0.236343567265627
"Pt3_On"	2.11441662242969e-14	0.0356642778842128	0.0929347645172657
"Pt3_Pre"	1.38762194906006e-14	0.00145713125540278	1.38762194906006e-14
"Pt44_On"	0.0686680948527868	0.0605717558833761	0.109010430198697
"Pt44_Pre"	0.00617934642081607	0.16052157788859	0.200509717737023
"Pt72_Pre"	1.04225564825279e-14	0.000599788366917595	1.04225564825279e-14
"Pt94_On"	1.8199855613083e-14	0.163700184180382	0.0601145314596882
"Pt94_Pre"	0.0705956870183355	2.19630348821628e-14	2.19630348821628e-14
"Pt10_On"	0.0104614951030347	0.248969438905506	0.0149721542046425
"Pt10_Pre"	1.21103810615899e-14	1.21103810615899e-14	1.21103810615899e-14
"Pt4_On"	0.327217854209372	0.182445525156217	0.175165950397932
"Pt4_Pre"	0.0197552146056331	1.91600403816297e-14	0.000973082177780979
"Pt59_Pre"	0.0793448297656772	0.284032160242367	0.195312597415506
"Pt77_On"	0.53442415127654	0.0358875757717738	0.0830216124411136
"Pt77_Pre"	0.383889895942241	0.0552359519899065	0.112476912421254
"Pt87_On"	0.320181139928932	0.274231130749789	0.15888862737775
"Pt89_On"	1.1239408915243e-14	0.000445321166787519	0.0782420057810868
"Pt89_Pre"	0.00587155711230639	1.06912813284676e-14	1.06912813284676e-14
