"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"PB.16.002"	0.0171742276628101	0.0274121514429426	0.0623864742339992	1.51215582325699e-14	0.104817066080187	0.0144677562042134	1.45437276318249e-07
"PB.16.003"	0.0251272801559435	0.0354234846728078	0.0747501208279672	0.0639062317568996	0.0731788122412784	0.146064531510918	0.00208022594379649
"PB.16.004"	0.00942115807491302	0.059719606048984	0.0642955732681851	0.114935637665841	0.00160079567555209	0.100878110499268	0.00713426315120325
"PB.16.005"	2.78370414544391e-08	0.112864179584487	0.125617494647081	1.43301724623984e-14	0.0710515135842057	0.113868520406314	0.00640058048946703
"PB.16.018"	8.48479463892205e-15	0.0110633029251823	0.129046922024659	8.48479463892205e-15	0.000754252859423108	0.0500522221647549	0.0715520422749794
"PB.16.019"	0.0965005349483242	0.0208194352045172	0.174077427990275	0.0571320166818596	0.00376301745336177	0.121012220714692	0.0642742110483362
"PB.16.020"	0.135155518986557	0.0278145953050053	0.0312128177453528	1.2513820400557e-14	0.0308323268155407	0.129793204627997	0.0654280345884901
"PB.16.021"	0.21910223722113	0.0921741496570033	0.0232616511207606	0.0269959595026302	0.0495310781182061	0.0893912563352725	0.0107427560423243
"PB.16.022"	0.119545899249659	0.266728256923887	3.08128032647187e-10	0.0570048381301864	0.0165172005507804	8.18981873779656e-15	8.18981873779656e-15
"PB.16.023"	0.0354586014687621	0.00461582213667968	1.41018565304853e-14	1.41018565304853e-14	0.0292668715493531	0.0229219003989473	0.0137492065587754
"PB.16.024"	0.00577073833008904	0.00050748702541473	1.32343684304892e-14	0.00868168318367624	0.116570696565669	0.090914898566091	0.0444729618676451
"PB.16.025"	0.00356761066609525	1.11817047397645e-14	0.0231698395956319	0.00662396813598528	0.040807884392681	0.0502705220885137	1.11817047397645e-14
"PB.16.029"	8.59676118355051e-15	8.59676118355051e-15	0.0359726211319172	8.59676118355051e-15	0.0271798971318256	0.0901449705796627	0.0350126797033896
"PB.16.030"	0.0973038936152116	0.165799378412091	0.0297599650758795	0.102532436398517	0.010641360639551	0.04321487425257	0.00939695288083113
"PB.16.031"	0.00627948584717214	0.030820603268203	0.0264001790731902	0.0657118595728783	8.870706038862e-09	0.045015107078352	0.0294721785415033
