"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"SAMf2ce197162ce"	1.56847233306865e-14	0.0164581999000701	0.408713032619378	0.0511839670293878	0.0609990079520893
"SAM698d8d76b934"	0.0120032710871579	1.09758386368419e-14	0.0467194028232659	0.147222740123283	0.295505420587105
"SAMc1b27bc16435"	0.142807448835616	1.45479550020375e-05	0.0015466267828406	0.0231419259383514	0.0923375755855881
"SAM85e41e7f33f9"	0.250172610388609	0.0223518879775865	0.0767504034975467	0.011137639322098	0.0118312404363095
"SAMf275eb859a39"	0.245354622211823	0.110465491156842	0.0316163688163104	0.0954923928279851	1.54774375411347e-14
"SAM7f0d9cc7f001"	0.169938400630814	0.167191767490397	0.46294719899952	0.025333637405475	0.0803996704002645
"SAM4305ab968b90"	1.30538162124715e-14	1.30538162124715e-14	0.00325062194931561	0.0732657523455802	1.30538162124715e-14
"SAMcf018fee2acd"	0.0151481439830037	0.607090634911905	0.0339460688718951	0.0341016777701808	0.0810873214105564
"SAMb2f1d0e54ece"	0.0875933845117873	0.0473956580236359	0.378278736271438	0.00731181961477816	0.0275371576624806
"SAMcc4675f394a1"	2.79668059916916e-15	0.0136247470368341	0.0403109071736869	2.79668059916916e-15	2.79668059916916e-15
"SAM49f9b2e57aa5"	1.7217530500399e-14	0.167918535450369	1.7217530500399e-14	0.00861695798559888	0.0651722229645817
"SAM2e7aa8fa0ab3"	0.0531397259152534	1.83846977276163e-14	0.0318241481711021	0.126094429374669	0.063465530715531
"SAMd0e47be700b0"	1.37875752958269e-14	0.166840080490934	1.37875752958269e-14	0.107589076776581	0.13486312841586
"SAMdf3e42c8672a"	0.205464609845682	1.34495190831195e-14	0.0116302199238914	1.34495190831195e-14	0.120167686230454
"SAMd027124354ce"	0.00183806452137483	0.0635799161401865	0.126709183853482	0.138629794335079	0.201128508112047
"SAM36d87392593b"	0.0836964787125396	0.0122731309114158	0.154543206176463	0.121302572583084	0.0744859228029903
"SAM4edbe45817b3"	0.320449701735834	0.0751219639781846	1.21809813887347e-14	1.21809813887347e-14	0.00575377010463316
"SAM36a9225b0222"	0.219136249087603	0.056036437636273	0.358926700083468	1.00952746056868e-14	0.137636550660721
"SAMe7bf6c015192"	0.349504577416328	0.164556195461782	0.0304904024365503	0.122364957419705	0.0425138619743563
"SAM6dd7ad1d797d"	0.0523821827739111	0.0446623998991804	0.0656383080584853	0.0369282224625664	4.76786879326826e-15
"SAMc0d625a50eb8"	9.64388404113522e-15	0.15404601841335	0.513330147982247	0.091876434505433	0.126470627673199
"SAM18039827e1b9"	1.49190827457653e-14	0.202263804860577	1.49190827457653e-14	0.194648482959588	0.0808932027558874
"SAM681e4bf7cf85"	1.79241930390177e-14	0.126682848276949	0.0632616077556345	0.0115727947911998	0.114990548045307
"SAMc692536a795a"	0.0905469071276978	0.260626096031376	0.264015387373675	0.0757671597132665	0.13805313303923
"SAM9a2cf3c06fb3"	0.17389492051753	0.229840725001442	0.227296459651126	0.0899789876650335	0.0999131880415918
"SAM557dde1b9f3e"	0.0466628645916814	0.18186232766076	0.283152435235312	0.0894829251053057	0.0302003055412693
"SAMb8f13a0525a6"	1.00420820457385e-05	0.21911382931494	0.155293243274536	0.155364106788497	0.13888704267363
"SAM23aa15d4a0b0"	1.15492823197587e-14	0.0798695075287098	0.10615290583869	0.0634610212853648	0.140215854441835
"SAM468a9e1dc821"	0.00326377806713964	1.72635055894478e-14	0.0623140650080798	0.0502534311264157	0.0292442972607423
"SAM81b71522417a"	1.3279082301498e-14	1.3279082301498e-14	1.3279082301498e-14	0.0737814702215741	0.196910254309379
"SAM6cb230f208a8"	0.020228376065331	0.265248841662021	0.00451982496929255	0.0314036633403103	0.24714507096344
"SAM0684af734db1"	1.44473734441739e-14	1.44473734441739e-14	1.44473734441739e-14	1.44473734441739e-14	0.0911889126943374
"SAMb963dda93cfd"	1.1551665526074e-14	0.00464447836262694	0.135893856259099	1.1551665526074e-14	0.158256999417933
"SAMa9ca8536d2b1"	0.0113029464968187	0.157963760950203	0.155743548876342	0.00197624152014465	0.0876303172739014
"SAM9fb814c22bdb"	0.207190894188378	0.140183472528024	0.452153939386565	0.041069091957661	0.0363707317157781
"SAMbcbc7957c264"	0.0373138649635281	0.0242060178814805	0.00433360287452072	0.163179284913763	0.0673646281024632
"SAM7fb6987514a4"	0.394049689882118	0.179524672341682	0.235549918727569	0.0561792035748771	0.0935899472849979
"SAM63405b04ab2d"	0.229175322902874	0.179503788709967	0.176576966137522	0.0617143063383444	0.00913995473573069
"SAM18bc1078bc15"	0.101033139010583	0.0576403062207678	0.0195984902798186	0.045769728641565	0.243441806844757
"SAM7d2dfba6cd84"	0.0662878299939195	0.157118635822411	0.203203505185439	0.113296504499032	0.208613895999115
"SAMd1bd63734394"	0.0593175276281334	0.00856815736980124	1.15558664480918e-14	0.0139025859217688	0.0842793895111767
"SAMe9ae8beb82fa"	0.0135070837898474	0.214726107935926	0.230631089365209	1.23463405888545e-14	0.129617932495191
"SAMb0a83e5fbde9"	1.4436234532354e-14	0.256895906803058	1.4436234532354e-14	0.106746397493484	1.4436234532354e-14
"SAMba7176afe070"	1.45421002958795e-14	1.45421002958795e-14	0.010855446351386	0.147689640726221	0.00544545244899797
"SAMae1690469964"	1.68303907473363e-14	0.0591419311959085	1.68303907473363e-14	0.0371080367002903	0.0927141961150409
"SAMbe83eae4026e"	0.0107108278812544	0.17476782613756	0.177351821415065	2.0347740044277e-14	0.0135920207720495
"SAMe5bc41772bc9"	3.49157224100086e-15	0.0197966144326324	0.0136907938423882	0.00620812991418609	3.49157224100086e-15
"SAM23095936e611"	2.0924721046657e-14	0.108261720931816	2.0924721046657e-14	0.0211884260129191	0.0956981083844659
"SAM7114d99032ec"	0.00600528920039133	1.27473191080796e-11	0.0543955329753584	0.242404447552888	0.0660406820021709
"SAMd215b503f99a"	0.00621177169636741	0.039623333664148	0.401061448243977	0.0756872449955214	0.045250030163476
"SAMdb3f50c9129c"	1.37248606813996e-14	0.0352037656644871	0.0919919006665223	0.0757398221104541	0.05549348177171
"SAMbf1a3ae828e6"	0.0645856920016879	0.143216212568331	0.480202061417173	1.40661502158511e-14	0.0368322674414798
"SAM52e3fa3ad574"	0.424519505666667	0.100218986589203	0.104553884748881	0.118838794154943	0.127842948647406
"SAMd4c0837b0997"	0.0543253180162825	0.0578029944129454	0.0651375578620964	0.0585683338698385	0.0537434791907508
"SAM9cafb905b36a"	0.311427373390988	3.17882340475178e-08	0.181576526803174	0.0833454851735177	0.0792913892178871
"SAM3f2033c90438"	0.0837470102137132	0.062247940218172	0.0950163351696317	0.158473715270512	0.226715125347144
"SAM032c642382a7"	0.460417192429245	0.0210003317098933	0.00433352472043979	1.02729677601864e-14	0.228701643576442
"SAM5ffd7e4cd794"	2.70400989062737e-15	0.0297788391333849	2.70400989062737e-15	0.00886558925099235	0.00231455273035235
"SAMb419a8fcbfcd"	1.24633731289296e-14	0.0223747252841211	0.0130376562112072	0.0641945997007518	0.257324945638851
"SAM8884fe446d20"	0.275790701882936	0.0121729171319403	0.16631085690404	7.96304878101161e-12	0.0657190468158664
