"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.UD.AAC7.01A"	1.05436131983069e-14	0.0201450996552596	0.07663880033715	0.0485410362024763	0.00175668221061038	0.0866488959059677	0.182390985942111	0.257442900765379	0.089242279294675
"TCGA.LK.A4NZ.01A"	0.0498374867153119	0.0601731893908209	0.0232960244085485	9.48111123380244e-15	0.224429838265	9.48111123380244e-15	0.178263984984534	0.00601592867556163	0.132115489086857
"TCGA.TS.A8AV.01A"	0.191961914928975	0.0556549900458374	0.287171992769523	0.163543055678671	0.129106588326282	0.0704692126797077	0.0438666531501175	4.39797617711234e-15	0.00783372337059255
"TCGA.3U.A98D.01A"	9.02564614227538e-15	0.00689291765092656	0.020253123102453	0.0180989164904729	0.126523694473303	0.232475955195949	1.79764186965862e-14	0.176630563805894	0.0358501047478284
"TCGA.TS.A7OZ.01A"	0.0252357762658155	0.0467128771784194	0.0253280061290152	7.97395592015814e-15	0.18103432055644	0.0909396018258575	0.221575730795024	0.020321973326849	0.238846881103653
"TCGA.3U.A98J.01A"	0.0496604165853816	0.0309165819385063	0.0614190774695564	0.0830172423546927	0.0509547595083362	0.0450494635360531	0.177778389829738	0.000539315947879692	0.103752293434423
"TCGA.SH.A7BC.01A"	0.252466276227916	0.16513033037277	0.139846825583839	0.125290030737985	0.0354291085134543	0.0405666381083833	0.0299300764649103	0.0835423640750161	0.083052804229671
"TCGA.ZN.A9VU.01A"	0.0821108983165941	0.00878632275665102	0.0171714885451401	0.171898250649178	0.0413506241402933	0.0168008350401423	0.0317455884717883	0.215028521430997	0.0528102836446925
"TCGA.YS.A95C.01A"	0.0619154074258816	0.123442916218841	8.97881918927002e-15	8.97881918927002e-15	0.0225631163304357	0.00331171906491528	0.0582644612370187	0.028249268815415	0.0515741855642968
"TCGA.ZN.A9VV.01A"	0.0148237226498486	0.0310428742384036	0.0166457288107365	7.15059258986002e-15	0.0301683075333598	0.00494217605457275	7.15059258986002e-15	0.032266971391533	0.208593535561919
"TCGA.MQ.A4LV.01A"	0.025842106112599	7.19538308977212e-15	0.274996957047425	0.0686215136063661	0.0223523364497374	0.0421712389052946	0.244277233383825	0.0887171699456381	0.0413992138900021
"TCGA.YS.AA4M.01A"	0.248290800264934	0.0440240307596254	0.302731030031802	0.153506727121078	0.0942139358443695	0.0201181533266295	0.083967811019391	0.0145782029884876	0.00781056138261557
"TCGA.MQ.A6BQ.01A"	0.0196339423984427	0.182093674807333	0.146224864263458	0.0310800361808724	9.16914103306504e-15	0.014569835805911	0.0686867873831166	0.0313515034144155	0.0277779878048954
"TCGA.3H.AB3S.01A"	9.92924158447022e-15	0.00381614867105489	9.92924158447022e-15	9.92924158447022e-15	0.0324480641398345	0.169512546545034	9.92924158447022e-15	0.0277990038243573	0.0881897254250917
"TCGA.UT.A88E.01B"	7.13554072546842e-15	0.0032438582886119	0.0108617251245718	0.0324484438378665	0.00962261061837824	0.0238269503545122	0.0735884258056465	0.22790519743438	0.0780055853493092
"TCGA.MQ.A4LC.01A"	0.0333916043339851	0.0893058084866549	0.00914094681149007	9.89981999340671e-15	0.0132400077882274	0.00686517550547548	0.0837811884988866	0.0973955828159129	0.0545369372721871
"TCGA.LK.A4O6.01A"	0.0101642475061312	7.32931168479348e-15	7.32931168479348e-15	0.00712083873738829	0.0904544053875462	0.0510272102588634	7.32931168479348e-15	7.32931168479348e-15	0.0884840372775314
"TCGA.SC.A6LN.01A"	0.0623004855369214	8.37904633978758e-15	8.37904633978758e-15	8.37904633978758e-15	0.0436094820188506	0.0851015182966258	0.152392817831024	0.00973482852467013	0.113578164497181
"TCGA.NQ.A57I.01A"	6.00473695534339e-15	6.00473695534339e-15	6.00473695534339e-15	6.00473695534339e-15	0.090368130524399	0.166037580814237	0.151339763817465	0.238424643796003	0.022745236062059
"TCGA.SH.A7BD.01A"	6.2753655200854e-15	0.0772966612141024	0.000442655287433107	0.00601909822128258	0.0105222680609626	6.2753655200854e-15	0.045041769013806	6.2753655200854e-15	0.0435526537496019
"TCGA.TS.A7PB.01A"	7.64810942503412e-15	0.0353764024954788	0.0552122678719887	0.113519609392817	0.00704655991766061	0.00835504149304385	0.10015156740362	7.64810942503412e-15	0.0295049899769696
"TCGA.SC.A6LR.01A"	0.0102422932059628	8.06422132794476e-15	8.06422132794476e-15	8.06422132794476e-15	0.0710767883450744	0.00602580294053876	0.0946058152924134	0.0820900856044269	0.137985191934056
"TCGA.3U.A98I.01A"	0.0963868426192272	0.0638517464117073	0.0705347297532251	0.231552868147826	0.127200617544771	0.296729972348698	6.50004602258039e-15	0.0784440898460088	0.00650047098710799
"TCGA.SH.A9CT.01A"	0.00720965409168876	0.0122988428649351	1.05743214963253e-14	0.109363297230036	0.154563149056054	0.00370294624798471	0.128087827979505	0.197122810227644	0.136870923399978
"TCGA.LK.A4O0.01A"	0.0779529857645303	0.0104754056969406	0.12588365843935	0.264328060186976	0.0582454356740111	0.154951827851553	0.0544532082763917	0.116641740782503	0.0271017039324255
