"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"TCGA.X6.A8C5.01A"	0.239901204809786	0.0283857624268054	0.192112178555952	0.100309221594403	0.417768422051883
"TCGA.DX.A8BG.01A"	0.0347464871016719	0.170512299647414	0.394138898655274	0.0542504887177469	0.0414133407958912
"TCGA.DX.A7ET.01A"	0.01074947927055	0.0145347818924754	0.158822274399528	0.0076648245968322	0.291902504267155
"TCGA.X9.A973.01A"	0.114118011382737	0.234680391484211	0.160682568926457	0.187903500912025	0.0718463770682679
"TCGA.DX.A48N.01A"	0.14880877427975	0.0795759917404376	0.125893318738454	0.417532725815212	0.144600138964571
"TCGA.IE.A4EJ.01A"	0.0879865367598364	0.361231153091202	0.249784334490617	0.194945816943155	0.0940339883634045
"TCGA.DX.A6YQ.01A"	0.0383701947824018	0.285625328953679	0.0758481924436573	0.0375794169183117	0.16934247576354
"TCGA.K1.A3PN.02A"	0.331469395308628	0.0501850281902325	8.84743580414224e-13	0.175373658441031	0.115815984041321
"TCGA.QQ.A5VA.01A"	0.18687688969355	0.0219946186440634	0.385217333495246	0.1494806508507	0.248951260129674
"TCGA.DX.A240.01A"	0.0172451991349147	0.422316309181709	1.40485045892761e-14	0.165439124206422	0.0071622508972099
"TCGA.IW.A3M6.01A"	0.196178789448988	0.366560537899904	0.106324750887389	0.15289304202114	0.0691546850252844
"TCGA.DX.AB35.01A"	0.209869581658227	0.16671976489541	0.209143306245157	0.0778453574805871	0.154057060438717
"TCGA.VT.A80J.01A"	1.40927937862388e-14	0.342424754994905	0.357330240402105	0.0485931334731908	0.0382974815571114
"TCGA.SG.A849.01A"	1.31764444092577e-14	0.0977069518711414	0.311927899375998	0.0568110595881698	0.14545594756454
"TCGA.DX.A23U.01A"	0.0618214092983963	0.513309682173786	0.00157321565264466	0.0350180073226782	0.0539996762266824
"TCGA.DX.A1L0.01A"	0.337541561209957	0.286738225975522	0.0844436208962396	0.14323946383847	0.066711000569968
"TCGA.FX.A3NK.01A"	0.145466592342612	0.423182582642921	0.193242197517196	0.0693281538641122	0.161094925511396
"TCGA.X6.A8C7.01A"	0.0406096982759935	0.0618914546784709	9.50610704561936e-15	0.683764811954511	0.0287685060038973
"TCGA.QQ.A5VC.01A"	0.0197002483544858	0.1489436208188	1.55032042388581e-07	0.108541423069286	0.258790986328422
"TCGA.QQ.A5VB.01A"	0.0342362706052216	0.119482793925207	0.097659883536477	0.00308162562333533	0.381076356510714
"TCGA.K1.A42X.01A"	0.206358273637316	0.0786466502605798	0.0244288628887103	0.384087829451844	0.116342323647217
"TCGA.K1.A3PO.01A"	0.287402150074752	0.1202166706616	0.289170460982684	0.217254716084615	0.0433450552388108
"TCGA.SG.A6Z7.01A"	0.0879458116339103	0.0860436094020147	0.0304795671602507	0.648655975307948	0.112399316972186
"TCGA.QQ.A8VG.01A"	0.00638698397016716	0.269751362354039	0.312559283725909	0.18142274232604	0.0927880496599559
"TCGA.DX.A23Z.01A"	0.198332248852539	0.321598215354775	0.191382217529885	0.14625526849929	0.0547666370582458
"TCGA.DX.A6BF.01A"	0.0846789034742216	0.0356104601455935	0.323400251550682	0.00838048212888808	0.111048110337586
"TCGA.DX.A8BV.01A"	0.181173431857499	0.270270826383787	0.204280893621171	0.11532740199374	0.193325998939442
"TCGA.DX.AB32.01A"	0.101096556068063	0.0102171923553048	0.543577224040201	0.0627686489955401	0.0711288510032058
"TCGA.DX.A6YX.01A"	1.0937286509771e-14	0.302641593674594	0.0172805054544089	0.074287628725043	0.144220244141316
"TCGA.IE.A4EH.01A"	0.166866492164034	0.26488326660742	0.0256673462564998	0.258106542544532	0.0651583877845306
"TCGA.DX.A3LS.01A"	0.036824299410879	0.456250128353414	0.266048089422158	0.125601607405813	0.0194415408255937
"TCGA.DX.A1KW.01A"	0.326589264898921	0.232608104891399	0.069988669094754	0.16281586473329	0.0349691671621232
"TCGA.DX.A1L2.01A"	0.279793523911146	0.322768530071898	0.101338885305413	0.112115049722181	0.041023844629249
"TCGA.DX.A3UE.01A"	0.322005758433149	0.0363638918742157	0.0126903583822624	0.178163160555693	0.112321618683555
"TCGA.IS.A3K6.01A"	0.0828090976081559	0.0189273957013547	0.0434222387831273	0.222239315285858	0.168453839821449
"TCGA.3B.A9HJ.01A"	0.0555870132060045	1.94625984407324e-14	0.590013016959501	0.0495381800733234	0.0361085319541783
"TCGA.MO.A47P.01A"	0.470658299586627	0.0145027737979908	0.0288120963924924	0.208445049705812	0.142189825003711
"TCGA.QC.AA9N.01A"	0.0819893552524244	0.1713501369886	0.115572593074587	0.224647995239879	0.113031911082314
"TCGA.HB.A43Z.01A"	0.218233364028188	0.149933305518424	0.016746989906609	0.435259801383821	0.163864492370793
"TCGA.DX.A48P.01A"	0.376261732829578	0.115089483936261	0.163827751179743	0.134444435069781	0.0619082771941304
"TCGA.DX.A8BS.01A"	0.0264016185990134	0.409671210556222	0.092232402051422	0.0616390226727111	0.092693756903812
"TCGA.3B.A9HR.01A"	0.258139252019302	0.0871602726363833	8.84095190588778e-15	0.266971051653582	0.218546903684174
"TCGA.FX.A2QS.01A"	0.0885421522814172	0.290768760345385	0.0404228734211269	0.242368113102328	0.151287413237485
"TCGA.HB.A3L4.01A"	0.238066391066286	0.111865649499244	0.0376027632571101	0.31538843912619	0.0647330166397686
"TCGA.MJ.A68H.01A"	0.299003241289611	0.231213933068802	0.00801300672296275	0.248640490753817	0.0703393325895524
"TCGA.DX.A2J0.01A"	0.122693957567373	0.142961036933752	0.280701420182212	0.180069514482471	0.22829763280609
