"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"TCGA.XU.A92T.01A"	8.68196777307314e-15	8.68196777307314e-15	0.0583493019594442	0.0362000144830048	0.0341127269441119	0.13701793110574	0.112027810922718
"TCGA.ZB.A96A.01A"	1.88742266304767e-05	0.0796995899148085	0.0312070094513969	0.0118469390178972	1.4259162366722e-14	0.00186413257403987	0.000147777989685622
"TCGA.XU.A933.01A"	0.0227332177738628	7.69469960611836e-15	0.0810015100293682	7.69469960611836e-15	0.121121827873923	0.077592393447575	0.117171105804349
"TCGA.XM.A8RH.01A"	0.0114872329424272	0.194533261240209	0.050892323724438	0.00249159631306028	1.46345321170332e-14	0.151868878627702	0.0227604171576448
"TCGA.4X.A9FB.01A"	0.111430597355413	0.193977028772844	0.0443362256520997	1.05822579601217e-14	0.116462739115799	0.0867819381936082	0.0119683187695941
"TCGA.ZC.AAAF.01A"	0.0151875883379275	0.0486768128004913	0.0525280744210512	1.40192337950181e-14	0.0365552005652237	1.40192337950181e-14	0.00673496781135223
"TCGA.X7.A8DF.01A"	0.117522532736683	0.0932888319293157	0.0410187710609894	0.0679657502325305	0.0150356527091484	1.6697532614544e-14	0.0475031824658935
"TCGA.4V.A9QN.01A"	0.00231167027438304	8.38207921058105e-15	0.0198737233392563	0.00319796324543152	0.16337830250205	0.052786692212566	8.38207921058105e-15
"TCGA.5K.AAAP.01A"	0.0221199946379324	0.0287907876434505	0.0631868936974904	0.0753503525618839	0.0798629320226552	1.65855249672266e-14	0.0211103798846712
"TCGA.ZB.A961.01A"	0.0718542238285759	0.046158478672157	0.0508999323797405	0.035487233498781	0.109908362668039	0.0106442620132128	0.0605880261883214
"TCGA.3G.AB0O.01A"	1.28198875438013e-14	0.248474001689499	0.029829966788179	0.00718956330461392	0.051845077948851	0.0594631151517368	0.0393951786146327
"TCGA.4X.A9FD.01A"	0.0168287155407286	0.0495232507836939	0.0317691379347152	0.057864980029113	0.0293804041032158	0.101364570641403	0.152484800258806
"TCGA.5U.AB0E.01A"	1.19645768741058e-14	0.0294894783089828	0.0338982185652333	0.0125719986183963	0.0716336315222018	1.19645768741058e-14	1.19645768741058e-14
"TCGA.X7.A8M3.01A"	6.52678727242683e-15	6.52678727242683e-15	6.52678727242683e-15	0.021551812979096	0.130845257248597	0.0352111460572174	0.0426420050598631
"TCGA.XM.A8RB.01A"	0.0248510249653499	0.233423267626355	0.0107226285114069	1.20566165230142e-14	0.099533766547628	0.159443632724353	0.0172148987349315
"TCGA.XU.A92U.01A"	0.0571277179733789	0.133876221357983	0.0200152698897979	0.133878830369058	0.0410965865290262	0.0977278001444093	0.0131540147241325
"TCGA.ZB.A96Q.01A"	0.00698414647836022	0.0923765371199668	0.0546310828254959	0.0726360409087004	1.12232430701026e-14	0.256575098970701	0.0553736550485447
"TCGA.XM.A8RE.01A"	0.0362307959102218	0.187354135076665	0.00451281792514336	0.0016126744653936	0.051274886387855	0.0134296092570812	1.48967446467579e-14
"TCGA.ZB.A96V.01A"	0.234818614785017	0.00240184500650726	0.0443546662486588	0.0640737750317912	0.108088835705965	0.00502891639643401	0.00702844072305667
"TCGA.5U.AB0D.01A"	0.0218325768089179	5.86906503688795e-15	0.0650305941821173	5.86906503688795e-15	0.0518893907576292	5.86906503688795e-15	0.0432744437825226
"TCGA.XU.A92Z.01A"	0.000987297069467653	6.92183276226978e-15	0.0527990648026516	0.048163975914818	0.0534264842881584	0.1191474724096	0.149582817361748
"TCGA.ZB.A96L.01A"	0.0170456673155678	1.00583064449368e-14	0.00515759602832769	1.00583064449368e-14	0.0829281191915878	0.273226961752525	0.145702300846479
"TCGA.3G.AB19.01A"	0.20081195216897	0.0502307808703395	0.0300587620454808	0.0937268051263788	0.0957176495859942	0.141384498412116	0.0269674991581002
"TCGA.5U.AB0F.01A"	9.96421940272545e-15	0.019982064876699	0.0140773954260406	0.00715318424141664	9.96421940272545e-15	9.96421940272545e-15	0.0144943186476996
"TCGA.X7.A8D9.01A"	0.0980539031872619	0.0237294806684701	0.0826573459786361	0.0397106072885081	0.0238205780561826	0.141216793575505	0.116732151584424
"TCGA.5V.A9RR.01A"	5.90098826163316e-05	1.24601774737933e-14	0.167199458094377	0.0261490899117253	0.00405575297246062	1.24601774737933e-14	0.0431492464525202
"TCGA.4V.A9QJ.01A"	0.0611123548450628	0.00600148456603771	0.203575212775326	0.0491002320728156	0.106220785815037	1.00435384683373e-14	0.0784638794418862
"TCGA.ZT.A8OM.01A"	0.0104576080946344	0.0110969476911232	0.0676008596528914	0.0204175502248951	0.00842814214472065	9.85819021280075e-15	0.039674156031603
"TCGA.XU.A92W.01A"	1.31785709395961e-14	0.106413230532945	0.0614962541000683	1.31785709395961e-14	0.0454958102403674	0.0770594571437701	0.0830424990633491
"TCGA.ZL.A9V6.01A"	0.179990096283963	0.0557219352104434	0.0539130432441826	0.0326882706666246	0.0111901689908941	0.159362213392602	0.0691329172063737
"TCGA.XM.A8RC.01A"	0.027754741466375	0.0322535284091762	0.0195044484156286	0.17344903503357	0.0646827028625614	0.171640850943099	0.0486486391030707
"TCGA.X7.A8DB.01A"	0.0350324851692053	0.160006225324807	1.20845333300193e-14	0.02821850708817	0.0361471262293303	0.0209378441603026	1.20845333300193e-14
"TCGA.XU.A932.01A"	0.0105459826337543	0.0933624756476748	0.00883511236753074	0.00906962919725376	0.0418902353195849	1.47637136220272e-14	1.47637136220272e-14
