"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"Patient102"	0.0472713963245055	0.0401804527459341	1.13207768986162e-14	0.0646967998298399	0.083776238403851	1.13207768986162e-14	0.0605752347241773	0.0121727068292099
"Patient105"	0.0183002042815445	1.39588880329595e-14	1.39588880329595e-14	0.0572544192950979	1.39588880329595e-14	0.0485823936140046	1.39588880329595e-14	1.39588880329595e-14
"Patient106"	0.0108384930892309	0.0672283217303053	0.120091258294363	0.0764776198665093	0.105299192726441	1.35259981978417e-14	0.0481828870293183	0.0328862474769547
"Patient107"	0.00154723696312344	8.37462180537153e-15	0.0185160351534441	0.0906593534302619	0.00899173449034109	0.00686792489985787	0.0156258030863213	8.37462180537153e-15
"Patient108"	0.0110420193676155	1.17724986745884e-14	1.17724986745884e-14	0.0097996573236288	0.0172207493812246	1.17724986745884e-14	0.0183611294195934	7.7324144144163e-05
"Patient112"	0.131312008060932	0.00144787322503799	0.138578436987576	0.0621426226497342	0.0169739790488165	0.0233898294110257	0.0428020611344593	0.0399495490589123
"Patient116"	0.00183300110972204	0.0190273337464043	0.0128037215492633	0.0852201901583347	0.0916673448196438	0.0529504848094995	0.0517200035904527	0.044711788546004
"Patient125"	0.507693308235504	0.0213985011296697	0.274281067040797	1.18723871728714e-14	0.00738718917811966	1.18723871728714e-14	1.18723871728714e-14	0.0051361554255259
"Patient126"	0.190266598424937	0.050996554295638	0.124432542868876	0.0484269117611701	0.025363454820033	0.00881185074610253	0.0231833948201545	0.064438063231371
"Patient127"	0.0331012806367364	0.0087604502302032	0.04945751459493	0.0512637570803287	0.0594601416095024	0.00353091050633672	0.231385579178207	0.019133336313608
"Patient130"	0.0809661687644707	0.0221968809043512	0.131969413206069	0.0199791008404363	0.039859586770629	8.20358892642955e-15	0.0300918223127582	0.00925494909964287
"Patient131"	0.0678976642952242	0.0918332884222682	1.26495943755754e-13	0.0724858452384673	0.0496599254925362	0.0050757513533563	0.0320534753681212	0.0452821216655913
"Patient132"	0.20762986582985	0.0943682891488544	0.00952597510460817	0.0263407250966854	0.0869852297858743	0.0297154394018965	0.0464897559816444	0.0192400949739952
"Patient133"	0.082244822639076	0.115449349509155	0.0714614821808462	0.0188883682169969	0.0276414715637045	0.0603723399461883	0.148721624966842	0.0663673253371987
"Patient134"	0.145015811671903	0.0371629274222485	0.033772517066904	0.00210342404130605	0.00912463693972758	0.0538324435957937	0.11050947258195	0.0576251297179338
"Patient135"	0.121878455798603	0.0246071717460733	0.00168784554867193	0.016144381550686	0.0216752320580683	0.0168421096139613	0.0290742630104976	0.191862757113491
"Patient137"	0.331145251945258	0.103889997917069	0.228285250251577	1.08731060590885e-14	0.038695486492196	1.08731060590885e-14	0.0621044145360208	0.0255153446411049
"Patient140"	1.43186449590489e-14	0.00941508403698999	0.0055279837499596	0.0239606379304168	0.0280174685423285	0.0042375082741031	0.0619927800821458	0.0527423936659681
"Patient141"	1.3694212666959e-14	1.3694212666959e-14	0.000343242109258197	0.0804101833331178	0.00664489048906056	1.3694212666959e-14	0.0493139503842562	0.190565033729517
"Patient142"	0.0835825078819266	0.112763695688095	0.00729205779037768	0.0388761104358396	0.0805381238756736	1.18511557903889e-14	0.0281582653049612	0.0841990335040353
"Patient143"	0.0162829714593302	8.40725634983434e-15	8.40725634983434e-15	8.40725634983434e-15	0.000588502953457484	8.40725634983434e-15	8.40725634983434e-15	0.0611877098321767
"Patient144"	0.0435560768334982	0.0441762583814226	6.27602738954737e-12	0.0530642364620359	0.0745574750928746	0.0186094682384767	0.0605234914697491	0.0959358254185865
"Patient145"	0.124473023264295	0.0668467404884715	0.137546865175687	0.0376455885449762	0.154795229618013	0.0349905114869198	0.0291713044043822	0.101727450901665
"Patient146"	0.0402214361616498	0.0252266890882419	0.000799638730302423	0.0705338840793016	0.0254692535402513	0.0582319952944036	0.095197721717262	0.0955038771860623
"Patient147"	1.0075702705821e-14	0.00711967409351001	0.00436160409630143	0.0379308741814474	1.0075702705821e-14	0.00550257715322171	0.0437478211277624	0.0332469648384639
"Patient148"	0.0419058256603061	0.100631566144252	2.0492013718765e-14	0.0926042816849772	0.059940858184327	2.0492013718765e-14	0.000974265719512508	0.0809497683990874
"Patient149"	0.207450961018102	0.198587928600561	0.124236153206221	0.0413005097769013	0.0529760074976963	0.0212140578071222	0.100661806237199	0.127851713582715
"Patient14"	0.155308780377855	0.127756173682994	1.0563493600622e-14	0.0639381630682731	0.0793601955687049	0.0808900424120634	0.101385570943977	0.0663497260960736
"Patient150"	0.0232931270522129	0.0317044363228376	0.0383106419282906	0.133164545149609	0.0315267112742992	0.0288538076482407	1.53624542494969e-14	0.042200771099943
"Patient154"	0.0268179029308348	0.00958053289722622	7.53411811531887e-15	0.0523051712651391	0.180024107465085	0.047379692125996	7.53411811531887e-15	0.0380402859580774
"Patient155"	0.0106802161334768	0.0182336953433845	0.00434476486960373	0.0246330085821985	0.015998848136263	0.0568801410639427	0.0600084462283342	0.0298532467155501
"Patient156"	9.60951749311561e-06	0.0836098293028939	0.0178907868471568	0.00921271534121182	0.091574793400926	1.07058207393571e-14	0.043905027456855	0.153927540295112
