"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"
"TCGA.N6.A4V9.01A"	0.448279407675601	0.0563870136489875	0.301666391098301	0.0370990457911474	0.119827107126971	8.01627230494317e-15
"TCGA.QM.A5NM.01A"	0.232014282974421	0.0219070708653992	0.0131532027684934	0.0196892595028049	0.219631656354964	0.010662821737491
"TCGA.N8.A4PM.01A"	0.169611686947335	3.02703292102635e-10	0.0331600743189979	0.0176373971015624	0.185412257908658	0.0414997042052488
"TCGA.NG.A4VU.01A"	0.0129646659072173	0.249172412176115	0.0620462683954567	0.0260129226821797	0.00949214214889732	0.280760373785623
"TCGA.NG.A4VW.01A"	0.212055392005135	0.0702249513139199	0.0480605874203212	0.00538734944317412	0.370557998250403	0.0783987737154994
"TCGA.N8.A4PN.01A"	0.0436864936732925	0.229539322858544	0.0942555990262362	0.0652153552782286	0.0532565825246083	0.45164272881722
"TCGA.N5.A4RA.01A"	0.0959288445236282	0.0786648174628185	0.071175512148525	0.0476117612181859	1.02400604091938e-14	0.140698659844484
"TCGA.N6.A4VD.01A"	0.243040555386836	0.065233735243878	0.038281319653486	0.139828025148966	0.478814151659402	6.53840160783875e-12
"TCGA.N7.A4Y8.01A"	0.00157716543990799	6.78171930239932e-15	6.78171930239932e-15	6.78171930239932e-15	6.78171930239932e-15	0.0767795995735832
"TCGA.N6.A4VE.01A"	0.483044045715297	0.0972511434582026	0.0193880494261779	0.102884963978234	0.287852230925917	0.00957956649615259
"TCGA.N5.A59F.01A"	0.136476296212184	0.0766349253623323	0.0146440528480285	0.15922924229705	0.247846439598903	0.0208740250136266
"TCGA.N9.A4PZ.01A"	0.302344160576288	0.130768093513294	0.133161374085023	0.0951254674967518	0.192215366226594	0.00375543265988679
"TCGA.N6.A4VF.01A"	0.0678756730145657	0.239575514868926	0.204039272780979	0.214852165526848	0.257798218792925	0.0158591550157372
"TCGA.NF.A5CP.01A"	0.188564700605621	0.0698678389015305	0.27908200184885	0.225876545986287	0.236608912657684	9.05072327453418e-15
"TCGA.N6.A4VC.01A"	0.270519500514957	1.84968829516867e-11	0.0895775074093392	0.0448361158796007	0.398464279985178	0.0310574763631291
"TCGA.N5.A4RF.01A"	0.0868958557469084	0.0866846134951037	0.207589969831397	0.3004372986564	0.10320482110136	1.04080324118459e-14
"TCGA.N8.A4PL.01A"	0.076273307833424	0.0246283320090867	0.360012992635254	0.00922572398853928	0.0296058961699157	0.287850412091337
"TCGA.ND.A4WA.01A"	0.0905139012521093	0.19274538175702	0.0652202864973967	0.00527706810436728	0.140908991301867	0.233222324753534
"TCGA.N5.A4RU.01A"	0.0149672993658266	0.172816604563884	0.331655848640073	0.0777699196403078	0.0280223160898577	0.271496146714213
"TCGA.N9.A4Q3.01A"	0.0688040863635602	0.101034774355413	0.0601456955174821	0.0443588207000024	0.337630701431134	0.0254564428857167
"TCGA.NA.A4R1.01A"	0.0665694136663592	0.0187974159076409	0.0738242587332773	0.0232403609147153	0.00096041436212336	0.352231391682357
"TCGA.N7.A4Y5.01A"	0.0187162889787563	0.186084935307813	0.0150952304981288	7.57194280737447e-15	7.57194280737447e-15	0.251947303535952
"TCGA.N5.A4RV.01A"	0.023249901630667	0.0773931380884707	0.146780936448654	0.0314960577117441	0.0222988407741619	0.048217733516747
"TCGA.QN.A5NN.01A"	0.198041829877489	0.133412992561753	0.326566412278882	0.176417606440248	0.0309421503171953	0.0429694882869579
"TCGA.N9.A4Q1.01A"	1.18109688431089e-06	0.185360171949973	0.0472810330493808	0.0293264865007784	1.06997497326251e-14	0.247857258015693
"TCGA.N5.A59E.01A"	0.0706924762199489	0.0587089477498747	0.123648288815066	1.24055158827222e-14	0.255009607483493	0.185397373195729
"TCGA.NA.A4QW.01A"	0.0517262764779424	0.19676607119835	0.129335792939874	0.0227340953955307	1.07586960791743e-14	0.443803930283117
"TCGA.N5.A4RM.01A"	0.157961679174515	0.0268643626401869	0.0591485327520495	0.0632768014886127	9.88468511410466e-15	0.135948540136663
"TCGA.NF.A4X2.01A"	0.0376498735466931	0.0245320132423695	0.206202057964489	0.212413272333232	9.2003210852761e-15	0.278914520184274
"TCGA.N5.A4RN.01A"	0.0961660562535585	0.218469312773953	0.0537878728997197	1.14918159236742e-14	0.0103159900275247	0.191240049151481
"TCGA.N5.A4RS.01A"	0.199465506071857	0.00312451103081241	0.139637713539067	7.33263310538803e-09	0.172918656665217	0.0717452562621258
"TCGA.N8.A4PQ.01A"	0.0758597304539441	0.268644927471139	0.238874632799	0.219554959302575	0.197064494691602	1.25528171625953e-06
"TCGA.N9.A4Q4.01A"	0.202912790556992	0.00354921768399109	0.0412426029042186	0.0146105808279646	0.043759788246203	0.262110888702229
"TCGA.NA.A4QY.01A"	0.0314024085218935	0.120291292993128	0.114584151249675	0.0501416547961979	0.186419458891683	0.296166845514515
"TCGA.N5.A4RJ.01A"	0.152618949990639	0.0784382883591746	0.0661660710403566	3.25937201045152e-09	0.442038215393793	0.0105654994410957
"TCGA.N5.A4RD.01A"	0.164912297582389	0.132326857592056	0.0285605872896191	0.0415021897780242	0.121891554394835	0.286908315645352
"TCGA.NA.A5I1.01A"	0.327215927327204	0.215893505192032	0.0892422085863071	0.0577155113243987	0.243705862918358	0.0662269846516792
"TCGA.NA.A4R0.01A"	0.0548850110978963	0.223089612731337	0.291294011323291	0.223763796915483	0.206967567931963	9.69312158842425e-15
"TCGA.NA.A4QV.01A"	0.27123085128586	0.262865922599241	0.240151018647534	0.0179651268277995	0.157316458845384	0.0504706217941599
