"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"
"TCGA.VD.A8KB.01A"	0.0843776175018501	0.0651246218500697	0.0223243722756595	0.0096662167051995	0.0994470203678652	0.0789091820401614	1.55611127359068e-14	0.0128708292403135
"TCGA.VD.AA8P.01A"	0.0814727677848911	0.132180005844196	0.0771609277849448	0.0207885994800285	0.0271142883558772	0.146536728359943	3.01264641813145e-05	0.0969667388991609
"TCGA.V4.A9EK.01A"	0.0873149949101674	0.0779566390902856	0.0775329388799342	0.261161131572511	0.0659096161906187	0.0863842331344893	0.15521479788142	0.0118196647987969
"TCGA.YZ.A985.01A"	0.015206968657685	0.0217310783777148	0.0382429689039503	0.00269237775871018	0.050865114341954	0.0236032860575197	0.0233977806547527	0.0243732952347909
"TCGA.WC.A88A.01A"	0.00994320387728206	0.0936824408692182	0.0842444162759757	0.0119071224746432	0.0419439844867602	0.000931038628230079	0.0258932933599204	0.0565018238354838
"TCGA.WC.A882.01A"	0.133256460141391	0.0754992896806616	0.071220852486905	9.40333842945666e-15	0.00999698464935397	0.0849205599059524	0.0385428882235875	0.0325729278705447
"TCGA.V4.A9ED.01A"	0.088998434353029	0.206120456997162	0.172932450871671	1.22620711982853e-14	0.0921503921540839	0.0669412534867174	0.103233480351818	0.06889909049336
"TCGA.WC.A87W.01A"	0.106514728367103	0.212909683500647	0.126497668702063	0.172219323488482	0.104358302945199	0.20924769673833	0.00572166414145164	0.053396720605021
"TCGA.VD.AA8O.01A"	0.00888126682949538	0.023536876608259	0.0640902158440217	1.33227993351092e-14	0.0102794500416332	0.0880203218552176	0.0996556784082923	0.12350492642168
"TCGA.V4.A9EV.01A"	0.0347605733636759	0.0389484080178709	0.081012388036353	0.164094992430868	0.106475760409946	0.080785192205438	0.368951637662912	0.0865004594105155
"TCGA.VD.AA8Q.01A"	0.00593937233805177	0.0228423164408186	0.000200245235021806	8.76746173019349e-15	2.01132940122058e-12	0.0305608349812645	0.00210827435154026	0.00945575616873591
"TCGA.V4.A9E8.01A"	0.0592573697500801	0.102829373781031	0.103036362922132	9.1601775976596e-15	0.0266193802747464	0.0866120113260514	0.10197906085131	0.184350940352844
"TCGA.WC.A884.01A"	0.0788087247370754	0.174463807203753	0.218575622712621	0.011172863995875	0.0859387166623706	0.148595763961739	0.117514500984583	0.106446752932959
"TCGA.VD.A8KJ.01A"	0.101731396329303	0.0805519644445455	0.0740855981598854	0.218993306903449	0.0883773030089705	0.0618746698049464	0.0154750865624407	0.145148815002272
"TCGA.V4.A9F3.01A"	0.0416093257986218	0.138107645536958	0.178598747434008	0.198455227280196	0.087637040436313	0.132592045678079	0.167155110599335	0.05584485723646
"TCGA.YZ.A982.01A"	0.0910321000369581	0.0796121352374801	0.053811536372422	0.00953855644073988	0.112399412497034	0.26464660135502	0.0331095682422562	0.15748007188601
"TCGA.VD.A8KH.01A"	0.0636115030482735	0.0403593467268618	0.0145298436255899	0.0740596001975701	0.176826495390905	0.0478635911449951	0.0104885610789018	0.0205663850820281
"TCGA.WC.A87U.01A"	0.0633467171351978	0.104319434472835	0.0743308730209479	0.173648582586047	0.162683090083683	0.119175266262095	0.00987666449761429	0.0386126937665972
"TCGA.V4.A9EI.01A"	0.151391422958407	0.0656527646383026	0.101360963351252	0.189250709884478	0.0636151068954484	0.131193786970531	0.0756644668107511	0.151409926966632
"TCGA.V4.A9F2.01A"	0.047775037330135	0.165555639619656	0.0838412782497709	1.23701579956286e-14	0.0689486504305904	0.139133936242533	0.050221010480508	0.0704934172955572
"TCGA.V4.A9F7.01A"	0.0334425623099574	0.0625699465675018	0.046771112630216	0.199065199520967	0.180953616280847	0.123714839101135	0.0109417047146151	0.0456831047739032
"TCGA.YZ.A980.01A"	0.111579656536037	0.147076800890783	0.0855035718867549	0.0611115356646159	0.0740386853960127	0.484552579261032	0.0361371702021989	4.36225919302449e-15
"TCGA.V4.A9F1.01A"	0.0258519297723408	0.104713802328898	0.177478596798305	0.195050895721207	0.0659670837412593	0.123541821610382	0.183821424884427	0.0471025868465351
"TCGA.VD.A8K8.01A"	0.0337102120401331	0.0341107988196669	0.0466295264734014	0.222883047673532	0.0752001522737875	0.0506017167589959	0.280107545721932	0.0534120457960235
"TCGA.VD.A8KM.01A"	0.0310205305920042	0.115036596779778	0.192890558040504	0.0884081973509318	0.0307379891983411	0.01959216530473	0.44016406929648	0.0221326423197659
"TCGA.WC.A880.01A"	0.0298356308111523	0.0907136214813119	0.0625479074168309	0.173268481155215	0.0779844704015154	0.0355972348354409	0.00772663488658061	0.0643323614504931
"TCGA.WC.A87Y.01A"	0.103596015447437	0.0959330746898735	0.10266320900898	0.121889472033383	0.0679836033054132	0.362707526527395	0.111805377403901	0.0308792536439322
"TCGA.VD.AA8N.01A"	0.00642282818477312	0.0426808034454913	0.0498876909458559	1.23336562590113e-14	1.23336562590113e-14	0.0416802296136643	0.0866987413101133	7.11888408307219e-08
"TCGA.WC.AA9E.01A"	0.0892680838086908	0.112261673680046	0.0518428105877171	0.12277532609299	0.0532289505703073	0.150203139544969	0.00320986396570524	0.0909227329704149
"TCGA.V3.A9ZY.01A"	0.0201162733500197	0.0901398686169735	0.0225873340252412	1.45843705584336e-14	0.101797723172986	0.0260350033339546	0.0371983104354715	0.0314580136263292
"TCGA.V4.A9EM.01A"	0.0656310586038123	0.0986156021389948	0.0916125141380678	0.0258048027660644	0.121217547165838	0.20299402742648	0.0485563091770118	0.161911493918718
