"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"Pat02"	0.104203304264942	0.147890412014751	0.10987520157758	0.076249767220783	0.0950209382192491	8.74454535704499e-15	8.74454535704499e-15
"Pat03"	1.28507046416381e-14	0.0255183401443901	0.0736227866872636	0.122700598018908	0.121630129488	0.0733460497469401	0.0289140692039526
"Pat04"	0.0730190578114688	1.32029209668622e-14	0.116722289704374	0.0544507706366877	0.0824483914505013	0.154585690409354	1.32029209668622e-14
"Pat06"	0.107545470672578	0.294799298041743	0.0160003256382837	0.00895970060745379	0.0307491389334751	1.07409722241609e-14	1.07409722241609e-14
"Pat08"	0.0868758390627283	0.111596354550409	0.194802512046469	0.0174740882393091	0.075813077673067	0.0391030229215123	0.0838605928907219
"Pat118"	0.0773257865991599	0.194151729215339	0.0384527506937114	0.168681099125287	0.00107275131156327	0.0597587011046321	0.0349448886558011
"Pat119"	0.000781300528844776	0.0257890060419766	0.0255807958727963	1.48806804881143e-14	1.48806804881143e-14	0.170813586348669	1.48806804881143e-14
"Pat123"	1.35260311461738e-14	1.35260311461738e-14	1.35260311461738e-14	1.35260311461738e-14	1.35260311461738e-14	0.00779752153992897	0.015400622755776
"Pat126"	0.0380853980619062	0.0224858127373366	0.00657634279972168	0.0139921043275353	0.0719883809526367	0.180344186100257	1.57511759183931e-14
"Pat14"	1.24657233816251e-14	0.0918815390915929	1.24657233816251e-14	0.243711830196265	0.0304225903765296	0.00686448815397354	0.0431709958195712
"Pat15"	1.02606477469867e-14	1.02606477469867e-14	0.0343154294219032	0.0382929467664849	0.0323774415979748	0.114676797711704	0.0118170032604561
"Pat16"	0.0128107711700531	0.0405952671383433	0.00233133760867174	0.0115770426412338	1.43462162413154e-14	0.048525326565266	0.0237207414474957
"Pat19"	0.119725077258741	0.148287476858327	0.229581579240866	0.095784959551077	0.0282651340199545	0.00865719964672823	9.37509165594339e-15
