"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"Pat_6494"	1.1151305822075e-14	1.1151305822075e-14	0.0220899956685824	1.1151305822075e-14	0.0513276830531352	0.188601958120073	0.132169874609433
"Pat_1867"	1.54104748648592e-14	0.0280019255057918	0.0119430913773997	0.131490420934917	0.0981449710049354	0.11669244060726	0.105312287199013
"Pat_5038"	1.09146752596447e-14	1.09146752596447e-14	1.09146752596447e-14	0.00916295405239506	0.0404509694227312	0.0469550785909682	0.0267194521425711
"Pat_5118"	0.0854428219293758	0.230801198214582	0.00395514884464415	0.103988148394633	0.146100032917205	0.072735642487259	0.075742314255377
"Pat_4631"	1.14918239057908e-14	1.14918239057908e-14	0.0368636121813412	0.00951084780647389	0.0123845399193881	0.196180693106525	0.0731763111331597
"Pat_6126"	0.0109942023951202	0.130142548195876	0.00451853041477967	0.0464585921631949	0.0982251876408055	0.0387622757240966	0.144089895974408
"Pat_2051"	0.0813452010134748	0.0630510295457773	0.00887385227270423	0.10326342561434	0.0773179989059739	0.00151435489224965	1.44835416245173e-14
"Pat_0346"	1.36687012465146e-14	1.36687012465146e-14	1.36687012465146e-14	0.0227241205122391	0.035613055008702	0.159443460298828	0.0433843921738842
"Pat_2056"	0.211576929808727	0.0648149474002395	0.000852583094637691	0.0843398222540281	0.00184127078556045	9.60107179895014e-15	0.0313208751282934
"Pat_4949"	7.22786567869587e-15	7.22786567869587e-15	0.00621590344183315	0.00426662766515699	0.129056271941424	0.0643806643119453	0.0917785107131707
"Pat_5784"	0.0719725019835731	0.347726385499117	0.0403656909890159	0.0829323909954106	0.0845849885618845	9.24103709714736e-15	0.042518946992369
"Pat_7357"	0.308486636409571	0.043219417139742	0.0420328982746932	0.0682721651831718	1.3319834076052e-14	0.0195234926979679	0.0309421494105837
"Pat_1509"	0.333029303010633	0.162679962465037	0.0282993707863716	0.054403243119215	0.054419198378082	0.0298353191235439	1.09321839543195e-14
"Pat_9449"	0.00820313689978028	1.86450458645984e-14	0.0672126464068404	0.0140870035906306	1.86450458645984e-14	0.0332787768690628	1.86450458645984e-14
"Pat_0167"	0.0972010959741562	0.0300580251181102	0.357831148662434	0.0303718394017366	0.0340509975508146	0.00615570735088973	0.020320387761658
"Pat_9521"	0.0129530990068417	1.73924353220257e-14	0.0250095503430541	0.0363792955249979	0.0447398099870255	0.220403159028835	0.0157561547577131
"Pat_1494"	1.23378853232943e-14	1.23378853232943e-14	1.23378853232943e-14	0.024455624920849	0.0906013697737725	0.224301069649445	0.0973620991521065
"Pat_7623"	0.0201058068135467	0.0372366043656166	0.0208729022582641	0.0579302016154947	0.198884806076152	0.0138125338845341	0.0522682050477791
"Pat_9705"	7.76634767946298e-15	7.76634767946298e-15	0.0152081435757822	0.0121713906148926	0.010999637035804	0.214019872969709	0.0211579639471398
"Pat_4810"	1.42620953344973e-14	0.00778649352952696	0.0463399008616665	1.42620953344973e-14	0.0284329083077174	0.10885126459329	0.0212827466745084
"Pat_3549"	1.32031635458065e-14	0.0607979236852244	0.116304399153961	0.0660664240324093	0.129993778054397	0.0722042790702326	1.32031635458065e-14
"Pat_6336"	0.244485260068257	1.4987681747046e-14	0.0332768658356392	0.0221956359904189	0.0495523456841341	0.0176975800073913	0.0579477801171195
"Pat_9699"	0.28035313848789	0.213068808874456	0.0436026932383041	1.30921513077989e-14	0.0145550361267039	0.0189862018071545	0.0126985018447592
"Pat_8727"	0.0969362304936256	0.348133790243526	0.00161009874736526	0.0397128790604851	0.115571644580625	6.4245374676901e-15	0.0434405625041516
