"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"
"Pt1"	0.084484246676672	0.195164014286693	0.00817639391894373	0.0982951067077838	0.0126371443422112	0.131104816241949	0.0146221556534859
"Pt2"	0.0244405514993545	0.011707235993121	0.449089739739965	0.0218286439996303	0.0295582412604351	6.3587580130885e-15	0.0685522760517393
"Pt4"	0.00967313142930247	0.0250516236354613	0.0117516489763001	0.0762000425966113	0.0664379249942022	0.122158146942709	0.031172792592904
"Pt5"	0.00361833786934868	1.08753165488681e-14	0.00916841543233909	1.08753165488681e-14	0.0926756390600769	0.080979167484392	1.08753165488681e-14
"Pt6"	1.36277530022742e-14	0.0457133041925374	0.0347492457346196	0.00191885969973495	0.0337421629714445	0.137860479187449	1.36277530022742e-14
"Pt7"	0.0146860387411315	0.00452070594906798	1.31311639215231e-14	1.31311639215231e-14	0.124049591559927	0.0625055583062846	0.0757684531667234
"Pt8"	1.30485874921601e-14	1.30485874921601e-14	0.0133363067680338	0.018179496647566	0.180603660434	0.151706895991723	0.131507161021252
"Pt9"	0.026902894132226	0.12903991076062	0.0394549022492028	0.185143919700262	0.10897142570358	0.143781367621193	0.0597849623927666
"Pt10"	9.43436213745575e-15	9.43436213745575e-15	0.0241926237300121	0.0445514407416226	0.0827659721128644	0.104453589267572	0.0278750672074807
"Pt12"	1.2879862527682e-14	0.0320362332355971	0.00939630173551905	0.0466576330064489	0.0332162459389798	0.184418607027699	0.115553136433845
"Pt13"	0.161844441536102	0.102809394956222	0.0133962995307814	0.163378890133612	0.0533648430029307	0.0513011501139847	0.0253004022363552
"Pt14"	0.0113982372614761	0.00424682830196425	3.91237659595706e-05	0.0617034220499906	1.30619539475807e-14	0.133587749716304	2.93983046624197e-09
"Pt15"	0.0681620161101683	0.0541170335462308	0.0505298643699414	0.0131087683293565	0.0901011724044014	0.095621907917317	0.0201932435424901
"Pt16"	0.0234824130961972	0.00570937529143481	1.40296474564201e-14	0.0599571311733869	0.00625312811015511	0.0280337880086839	0.0399602516068615
"Pt19"	0.00102749235573171	0.030650403836233	0.0224476422667245	1.28954762541923e-14	0.0194872878190528	1.28954762541923e-14	1.28954762541923e-14
"Pt20"	0.362939746502454	0.266287564111073	0.00580071021064706	0.0187544364490106	0.0364190029266247	0.0283751034404544	0.00587380070798435
"Pt22"	0.153321720599134	0.166261880925907	0.0313286254715786	0.161888695958907	0.0691429164246445	0.055910607912742	9.27475406548215e-15
"Pt23"	0.197822066757107	1.46128370449199e-14	0.0553296197714305	0.0908377554583928	0.131194881758866	0.0612073771652435	0.0218111318485073
"Pt25"	0.0608290071508694	0.025208569378799	0.0757035333315487	0.027870985924783	1.19690407556203e-14	0.00735459747885821	0.0508834711324376
"Pt31"	6.89205525270182e-08	0.00830728111757047	0.0220930483933742	0.0390215843466606	0.0682750944784372	1.3013734334585e-14	0.0410284090504995
"Pt32"	0.00801060324216213	0.0222840288756767	0.00545019610908716	0.0650738618091258	0.145774997220587	0.051376014608791	0.151547857506368
"Pt35"	0.0241713711480479	0.016576356032538	0.0718396891118823	0.0891975557953977	0.0922752286242097	0.199894235190144	0.0203831564197213
"Pt37"	0.00561594819678981	0.0170992299144639	1.5350857876379e-14	0.00680719871537212	0.00631095590787665	0.0192288232030209	1.5350857876379e-14
"Pt38"	0.136334849062101	0.377108588042245	6.45760693593398e-15	0.029859108126578	0.0860278482021999	0.0136737436592749	0.0124995394557408
"Pt28"	0.00117145662065254	0.0236101315634724	0.081243411609149	9.34401506671382e-15	0.0404475720387451	9.34401506671382e-15	0.0816928612544878
"Pt29"	0.221673447549724	0.162306857986439	1.15672813952239e-14	0.0175952956529041	0.00774115030471423	0.125133467501746	0.0431571492241665
