"ID"	"S01"	"S02"	"S03"	"S04"	"S05"
"Patient102"	0.15502939355992	0.0395011117761781	0.1408506302505	0.341955624709908	0.264932341917626
"Patient105"	0.0312590812020432	0.00630556767726275	0.0148153015050697	0.160843580823272	0.128052212952317
"Patient106"	0.115921952737655	0.214262454538075	0.128411393598161	0.126846403981115	0.109826606431377
"Patient107"	0.0277363587971067	0.0806201725440803	0.0013214158621163	0.0294592963576436	7.62606852176407e-15
"Patient108"	0.0382870148011357	0.00632113282905245	2.89006642628814e-08	0.0251507779830571	0.0286479294775351
"Patient112"	0.225011150574452	0.123103242945491	0.253366362634775	0.214040769764139	0.122412640885708
"Patient116"	0.298076284802613	0.10957167962555	0.0802082410581822	0.282472563637339	0.229671230876305
"Patient125"	1.33601053240221e-14	0.0278128570308756	0.528611660947668	0.0693022121467179	0.0712290960593407
"Patient126"	0.0392425122204617	0.2326044402547	0.237274899051925	0.221221788989702	0.131069531672447
"Patient127"	0.119259090710089	0.034238991496408	0.176185078924202	0.397104009722145	0.266702951759851
"Patient130"	0.08873689172497	0.00581248513327026	0.134224760359076	0.252000675719243	0.461555426683845
"Patient131"	0.0377884382022015	0.236785172598326	0.115487804928903	0.102579939932063	0.104863727905467
"Patient132"	0.164559698116618	0.104374741499666	0.533700809799258	0.0264225681852927	0.0810327192641359
"Patient133"	0.0117162773160709	0.314008046259503	0.188956524667392	0.120718965120743	0.113127481608914
"Patient134"	0.202659238925635	0.290709985367709	0.283646504518455	0.11653550526599	0.106416998631816
"Patient135"	0.0500450669426281	0.381308625981648	0.0753090425128953	0.175800764106265	0.0947177179303216
"Patient137"	1.07537941101774e-14	0.301575250630417	0.427574563789804	0.0559435326803258	0.0889445353581019
"Patient140"	0.0878228644728214	0.0469065577930153	0.0126239835522948	0.295993036464793	0.120930540983106
"Patient141"	0.0230538490799148	0.248209814028364	0.00647270975232934	0.0662458396250523	0.110681330405079
"Patient142"	0.0348466933508314	0.308748247041291	0.0862181761861462	0.173837901469264	0.129644304829325
"Patient143"	0.0114348740866151	0.0816617246195869	5.8093944077409e-15	5.8093944077409e-15	0.00722898341706173
"Patient144"	0.126902073210508	0.304243551995794	0.034659001152809	0.165926505484491	0.142331573657851
"Patient145"	0.25569693319471	0.278255010296356	0.253326509768996	0.0724870764108209	0.0667529149967063
"Patient146"	0.130166921723062	0.199565612086205	0.0874277866988057	0.25486625819278	0.235759490829922
"Patient147"	0.102425636646573	0.067867651461806	0.0450286575824621	0.168860851725136	0.0664940492618993
"Patient148"	0.17311909887251	0.0337981650718744	0.0771686718005475	0.165859332360805	0.10744771273301
"Patient149"	0.15241372065747	0.298161708391671	0.381648657010015	0.0164628895480155	0.104974145519652
"Patient14"	0.288538847946155	0.0905935715397774	0.151336368927112	0.20377041372787	0.265760797859078
"Patient150"	0.0649889944769674	0.235867341193825	0.073131247923649	0.22901107253751	0.242506217812333
"Patient154"	0.538635271185748	0.030344053826781	0.116885420560264	0.117231881590293	0.196903372836907
"Patient155"	0.15248981645581	0.188497253963968	0.120678907418543	0.203796294155677	0.155209179521766
"Patient156"	0.186134348106603	0.294276701885754	0.187375599981741	0.184622870919646	0.13286197623029
"Patient158"	0.0432217390503438	0.226458539674384	0.0327226479656743	0.402628509940386	0.157234484209153
