"ID"	"S01"	"S02"	"S03"	"S04"	"S05"	"S06"	"S07"	"S08"	"S09"
"TCGA.2H.A9GK.01A"	0.222885719672423	0.0780602771138905	0.0948751546868429	0.12995779822422	0.195123859665125	0.0693459181344822	0.0422462860640699	0.0141968907283328	6.43673741828729e-15
"TCGA.LN.A4A4.01A"	9.1705251918148e-15	0.0213682615839381	9.1705251918148e-15	0.00388147272380764	0.0417684203913441	0.356314402526736	9.1705251918148e-15	0.247228282563661	0.123280658114265
"TCGA.L5.A4OI.01A"	8.60783914064433e-15	0.00485580224689686	8.60783914064433e-15	0.000334087625811818	8.60783914064433e-15	0.00114776081848295	8.60783914064433e-15	0.100016649450859	0.166493538578807
"TCGA.L5.A4OM.01A"	0.0637088852658731	8.29726787251075e-15	8.29726787251075e-15	0.00830831669996857	0.0281429311247169	0.00768060884978743	0.249661211564285	0.146169383475339	0.249732419220135
"TCGA.L5.A4OG.01A"	0.188599221003153	8.00042408457224e-15	0.149400763591921	0.153987689939292	0.0594396146828131	8.00042408457224e-15	0.189100388871746	0.104582581051692	0.01975976006484
"TCGA.L5.A88Y.01A"	0.0895879727280662	0.250304936852508	0.0347372681414573	0.290507939776685	0.0935188715053378	6.21606862760299e-15	0.0102881697021452	0.00163863615704963	0.0024273758094711
"TCGA.L5.A4OR.11A"	0.00277749933084163	0.0135393585221877	4.7711357344895e-15	4.7711357344895e-15	0.0210382862258797	4.7711357344895e-15	4.7711357344895e-15	4.7711357344895e-15	4.7711357344895e-15
"TCGA.R6.A6XQ.01B"	0.000654770792365584	4.77055933488827e-15	4.77055933488827e-15	4.77055933488827e-15	0.015040595348663	4.77055933488827e-15	0.0282718016373	0.00453442900551376	0.0579048119763175
"TCGA.ZR.A9CJ.01B"	7.29342933516541e-15	0.0107047628280598	7.29342933516541e-15	0.1711156127658	0.109997856091865	0.253755981354618	0.113074775827246	0.0636470787429266	0.0938733783283277
"TCGA.L5.A8NW.01A"	0.152008114859242	0.0811689790025463	0.169450818087249	0.100004163169292	0.132171329637589	0.0457640785880453	0.0177830775209352	0.0267363642128321	0.00609392301820965
"TCGA.S8.A6BV.01A"	1.1830107773781e-05	0.268239122130846	0.0285463898615395	0.157440005134479	0.174342996965056	0.0111614770409264	0.00642196029565993	0.0239606258231851	0.0622738595088095
"TCGA.2H.A9GM.01A"	9.79542160332356e-15	0.00844909503927955	0.0873384057899766	9.79542160332356e-15	0.216710221140716	0.0325583771041301	0.0705837700459075	0.108236985432522	0.12002789478812
"TCGA.LN.A4A5.01A"	0.198117666521294	0.0842526205032203	0.0738941394252873	0.0919831818997474	0.168079742525203	0.206558826007254	0.0502797160787817	0.0509729408187668	0.0752043943645556
"TCGA.LN.A7HY.01A"	0.0319992472275271	0.10288484976777	0.08949783463381	0.0497298054643531	0.0789574335788022	0.274055971905825	0.0971354272564633	0.0682114738992038	0.0823885450935909
"TCGA.2H.A9GL.01A"	0.221302010970978	0.108062187959534	0.0764757374048732	0.038541066080628	0.157426513814385	0.0837448859229158	0.0472697758031882	0.0332188213732019	0.186349722498912
"TCGA.IG.A3YA.01A"	0.283189629660172	0.0274035561602702	0.109610000466819	0.270149912641991	0.105882078094054	0.104215814712688	0.0158476204510954	0.0353231887398385	0.0302803776599467
"TCGA.JY.A6FB.01A"	9.10462516156991e-15	0.0976355098307923	0.00151824282141575	0.0106268569563045	0.114673035034782	0.0741156317878444	9.10462516156991e-15	0.261726678489843	0.00337603310970532
"TCGA.JY.A938.01A"	0.238442989489985	0.00226187366453546	0.235706816356985	0.125739235919186	0.0537136188067716	0.0525061349029142	0.0987555051987208	0.0594008113924012	0.0529240769741396
"TCGA.LN.A49Y.01A"	7.85654596636384e-15	0.0210945607469661	7.85654596636384e-15	7.85654596636384e-15	0.0201320462120789	0.0131703683426335	0.0333380282921762	0.137235292153294	0.0836553273472964
"TCGA.LN.A5U6.01A"	8.96222344015124e-15	0.0405671778663264	0.0886553319707046	0.0307340756678763	5.48264327936005e-13	0.315389483439391	0.0653885507567722	0.152564907486935	0.0245544100801055
"TCGA.L5.A88S.01A"	0.0101171398277448	0.125355579630808	0.0215710654541402	0.222688619234965	0.299030500455348	0.208867998073737	0.0132735931536734	0.0122301500134733	5.91708342181987e-15
"TCGA.JY.A6FD.01A"	8.50670762001286e-15	8.50670762001286e-15	0.127489750792902	0.0339864835165514	0.0198674362536021	0.0257960226309104	0.26560854093686	0.0739364226163701	0.0354696479352727
"TCGA.LN.A4A1.01A"	9.01700020366584e-15	0.190401312046964	0.00685119532647777	0.165669245161091	9.01700020366584e-15	0.141782141806531	0.0187982683165904	0.0940246809608791	0.0185869386947127
"TCGA.JY.A6FA.01A"	0.00575975281871611	0.00345266306101789	8.57142580752905e-15	0.000992666405112121	0.00347550015484429	8.57142580752905e-15	8.57142580752905e-15	0.296499078286722	0.0177174762058343
"TCGA.JY.A93C.01A"	0.0862649826043704	0.0281916961156768	0.0426061005241597	0.101275900844408	0.15079472082397	0.0817093245841799	0.096474188466799	0.143042578221904	0.0561965976259304
"TCGA.LN.A49O.01A"	0.0574304211231714	6.19534288406487e-15	0.271423135664437	0.178614868965997	0.0621605801589197	0.0401769842633388	0.157692501986493	0.128628784075227	6.19534288406487e-15
"TCGA.L7.A6VZ.01A"	1.04681366264486e-14	0.109482981358395	4.01455697342279e-05	0.024584598376676	0.0609460810082688	1.04681366264486e-14	0.0429908132980679	0.261992237799695	0.0455803146836705
